global sparsity,begin,end,freq,label smoothing,Accuracy,method
0.7,40000,76000,4000,0,0.757139981,magnitude_pruning
0.7,20000,76000,4000,0,0.752359986,magnitude_pruning
0.7,40000,76000,4000,0.1,0.75940001,magnitude_pruning
0.7,40000,100000,2000,0,0.755540013,magnitude_pruning
0.7,8000,100000,4000,0.1,0.752439976,magnitude_pruning
0.7,20000,76000,2000,0,0.751420021,magnitude_pruning
0.7,40000,100000,4000,0.1,0.763800025,magnitude_pruning
0.7,8000,100000,4000,0,0.751519978,magnitude_pruning
0.7,8000,76000,4000,0,0.747619987,magnitude_pruning
0.7,20000,100000,2000,0,0.753440022,magnitude_pruning
0.7,20000,68000,4000,0.1,0.754960001,magnitude_pruning
0.7,20000,76000,2000,0.1,0.754400015,magnitude_pruning
0.7,40000,68000,2000,0,0.755879998,magnitude_pruning
0.7,8000,68000,8000,0,0.750079989,magnitude_pruning
0.7,8000,76000,4000,0.1,0.750519991,magnitude_pruning
0.7,20000,76000,4000,0.1,0.753859997,magnitude_pruning
0.7,20000,100000,8000,0.1,0.7579,magnitude_pruning
0.7,8000,100000,8000,0,0.751359999,magnitude_pruning
0.7,40000,68000,4000,0.1,0.759220004,magnitude_pruning
0.8,8000,100000,4000,0.1,0.74879998,magnitude_pruning
0.8,8000,100000,2000,0,0.745019972,magnitude_pruning
0.8,8000,68000,4000,0,0.740639985,magnitude_pruning
0.8,8000,100000,4000,0,0.746999979,magnitude_pruning
0.8,40000,100000,4000,0,0.749559999,magnitude_pruning
0.8,8000,100000,8000,0,0.746379972,magnitude_pruning
0.8,20000,100000,4000,0.1,0.752619982,magnitude_pruning
0.8,20000,68000,8000,0,0.749220014,magnitude_pruning
0.8,40000,68000,8000,0.1,0.753120005,magnitude_pruning
0.8,20000,76000,4000,0.1,0.750680029,magnitude_pruning
0.8,40000,100000,2000,0,0.750660002,magnitude_pruning
0.8,40000,100000,4000,0.1,0.753359973,magnitude_pruning
0.8,8000,68000,8000,0.1,0.744520009,magnitude_pruning
0.8,40000,68000,2000,0,0.751139998,magnitude_pruning
0.8,8000,100000,2000,0.1,0.74721998,magnitude_pruning
0.8,20000,76000,4000,0,0.748239994,magnitude_pruning
0.8,40000,76000,2000,0,0.753319979,magnitude_pruning
0.8,20000,68000,2000,0,0.749159992,magnitude_pruning
0.8,40000,76000,2000,0.1,0.754459977,magnitude_pruning
0.8,40000,68000,4000,0.1,0.751420021,magnitude_pruning
0.8,40000,76000,4000,0,0.751299977,magnitude_pruning
0.8,8000,76000,2000,0,0.742020011,magnitude_pruning
0.8,20000,68000,2000,0.1,0.747579992,magnitude_pruning
0.8,20000,100000,8000,0.1,0.753679991,magnitude_pruning
0.8,8000,68000,2000,0.1,0.74180001,magnitude_pruning
0.8,8000,100000,8000,0.1,0.749939978,magnitude_pruning
0.8,40000,76000,4000,0.1,0.754339993,magnitude_pruning
0.8,40000,68000,8000,0,0.752900004,magnitude_pruning
0.8,8000,76000,4000,0,0.743399978,magnitude_pruning
0.8,20000,68000,4000,0.1,0.74879998,magnitude_pruning
0.8,40000,68000,2000,0.1,0.751839995,magnitude_pruning
0.8,20000,68000,8000,0.1,0.750899971,magnitude_pruning
0.8,20000,76000,2000,0.1,0.749580026,magnitude_pruning
0.8,8000,76000,8000,0,0.745079994,magnitude_pruning
0.8,20000,76000,8000,0.1,0.751060009,magnitude_pruning
0.8,8000,76000,8000,0.1,0.744840026,magnitude_pruning
0.8,20000,100000,2000,0.1,0.752420008,magnitude_pruning
0.8,40000,100000,8000,0.1,0.751600027,magnitude_pruning
0.8,8000,76000,4000,0.1,0.744300008,magnitude_pruning
0.8,8000,68000,8000,0,0.744599998,magnitude_pruning
0.8,40000,68000,4000,0,0.751760006,magnitude_pruning
0.8,20000,100000,2000,0,0.752240002,magnitude_pruning
0.8,40000,76000,8000,0.1,0.752759993,magnitude_pruning
0.8,40000,100000,8000,0,0.749719977,magnitude_pruning
0.8,8000,68000,4000,0.1,0.743319988,magnitude_pruning
0.8,8000,68000,2000,0,0.742340028,magnitude_pruning
0.8,20000,100000,4000,0,0.751900017,magnitude_pruning
0.8,20000,76000,8000,0,0.750039995,magnitude_pruning
0.8,8000,76000,2000,0.1,0.742320001,magnitude_pruning
0.8,40000,76000,8000,0,0.752260029,magnitude_pruning
0.8,20000,76000,2000,0,0.747399986,magnitude_pruning
0.8,20000,100000,8000,0,0.748939991,magnitude_pruning
0.8,20000,68000,4000,0,0.747780025,magnitude_pruning
0.8,40000,100000,2000,0.1,0.755760014,magnitude_pruning
0.9,40000,76000,2000,0,0.737420022,magnitude_pruning
0.9,20000,68000,4000,0,0.733539999,magnitude_pruning
0.9,8000,100000,8000,0,0.73202002,magnitude_pruning
