Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7157    12.8960     4.5851     8.6300   147.9105
   2     0.1000     2.9465    25.8400     3.5926    19.7900   143.9092
   3     0.1000     2.4298    36.0200     3.1360    26.9600   143.8964
   4     0.1000     2.0610    44.0420     2.9340    33.1100   143.9122
   5     0.1000     1.7897    50.3800     2.1218    44.0500   143.8652
   6     0.1000     1.5848    55.1820     2.4856    42.3100   143.9722
   7     0.1000     1.4409    58.5400     1.9105    50.6500   143.9250
   8     0.1000     1.3152    61.9920     1.7173    53.8400   143.9334
   9     0.1000     1.2054    64.6460     1.7948    53.8500   143.8855
  10     0.1000     1.1070    67.3380     1.9961    50.2400   143.9713
  11     0.1000     1.0257    69.5620     1.7680    55.0300   143.9695
  12     0.1000     0.9541    71.4740     1.7665    55.8300   143.9319
  13     0.1000     0.8811    73.2960     1.6656    57.9400   143.9223
  14     0.1000     0.8217    74.9380     1.3758    62.9900   143.9129
  15     0.1000     0.7579    76.8020     1.7986    57.6100   143.9458
  16     0.1000     0.7035    78.2480     1.4484    62.7300   143.9551
  17     0.1000     0.6493    79.8060     1.6486    59.4500   143.8665
  18     0.1000     0.5988    81.4220     1.3272    64.9900   143.9454
  19     0.1000     0.5634    82.2840     1.5083    63.0400   143.9327
  20     0.1000     0.5138    83.9460     1.5923    59.6500   143.8991
  21     0.1000     0.4720    85.1020     1.6680    62.2100   143.8857
  22     0.1000     0.4397    86.0140     1.5052    64.6000   143.8377
  23     0.1000     0.3999    87.2760     1.5627    64.1100   143.9318
  24     0.1000     0.3647    88.3720     1.7053    62.3000   143.9335
  25     0.1000     0.3321    89.2180     1.4776    65.1300   143.8948
  26     0.1000     0.3095    90.0340     1.4245    66.8100   143.9285
  27     0.1000     0.2880    90.6800     1.4770    66.6300   143.9049
  28     0.1000     0.2545    91.7920     1.5596    66.5400   143.8652
  29     0.1000     0.2343    92.4260     1.9298    60.9900   144.0176
  30     0.1000     0.2170    93.0760     1.5432    67.1000   143.9177
  31     0.1000     0.1958    93.6600     1.5830    68.0700   143.9462
  32     0.1000     0.1748    94.5020     1.6163    66.3900   143.9693
  33     0.1000     0.1591    94.9560     1.4743    69.2000   144.0594
  34     0.1000     0.1438    95.5020     1.7311    66.3900   143.9421
  35     0.1000     0.1375    95.7260     1.5673    69.1700   143.9178
  36     0.1000     0.1209    96.2140     1.5388    68.9300   143.8875
  37     0.1000     0.1060    96.7200     1.8988    66.2200   143.8688
  38     0.1000     0.1002    96.9120     1.5825    70.1300   143.8982
  39     0.1000     0.1002    96.9200     1.6147    69.1000   143.9418
  40     0.1000     0.0839    97.4800     1.7802    68.6500   143.9886
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0734    97.8420     1.6208    69.6600   143.9568
  42     0.1000     0.0705    97.9400     1.8259    65.9200   143.8870
  43     0.1000     0.0789    97.6420     1.5370    70.5900   143.9305
  44     0.1000     0.0618    98.1900     1.4750    71.9300   143.9547
  45     0.1000     0.0510    98.6100     1.5253    71.9000   143.9475
  46     0.1000     0.0490    98.5900     1.5914    71.6400   143.9362
  47     0.1000     0.0405    98.8720     1.5824    71.0900   143.9699
  48     0.1000     0.0379    98.9920     1.7876    68.3300   143.9940
  49     0.1000     0.0453    98.7360     1.5982    71.8000   143.8810
  50     0.1000     0.0352    99.0540     1.5409    72.5500   143.9651
  51     0.1000     0.0377    98.9560     1.5112    72.9700   143.9005
  52     0.1000     0.0339    99.1200     1.5678    72.8900   143.9785
  53     0.1000     0.0321    99.1260     1.5131    73.0900   143.9879
  54     0.1000     0.0267    99.3140     1.5852    72.3800   143.9498
  55     0.1000     0.0283    99.2480     1.4938    73.6500   143.9744
  56     0.1000     0.0267    99.3160     1.5972    72.9100   143.9436
  57     0.1000     0.0227    99.4240     1.7459    70.6600   143.9656
  58     0.1000     0.0257    99.3000     1.5362    73.1100   143.8997
  59     0.1000     0.0176    99.5960     1.5579    73.3400   144.1225
  60     0.1000     0.0320    99.1220     1.5700    73.5600   144.0976
  61     0.1000     0.0292    99.2120     1.5753    72.4700   143.9338
  62     0.1000     0.0289    99.1780     1.5104    73.9600   144.0280
  63     0.1000     0.0273    99.2180     1.6523    72.4500   143.9759
  64     0.1000     0.0221    99.4260     1.5195    73.6700   143.8621
  65     0.1000     0.0243    99.3680     1.6477    72.1000   143.9443
  66     0.1000     0.0204    99.4800     1.5682    73.0000   143.9950
  67     0.1000     0.0216    99.4280     1.5826    73.4300   143.8552
  68     0.1000     0.0160    99.6220     1.5329    74.2700   143.8582
  69     0.1000     0.0163    99.5940     1.6797    72.2500   143.9543
  70     0.1000     0.0141    99.6560     1.6118    73.1800   144.0115
  71     0.1000     0.0140    99.6580     1.5842    73.8100   143.8882
  72     0.1000     0.0112    99.7480     1.6017    73.5000   143.8870
  73     0.1000     0.0102    99.7780     1.5175    74.3400   144.0199
  74     0.1000     0.0101    99.7760     1.5655    73.9300   143.8662
  75     0.1000     0.0076    99.8320     1.5869    74.4000   143.9517
  76     0.1000     0.0075    99.8460     1.5081    74.9700   143.9982
  77     0.1000     0.0070    99.8540     1.7225    72.3600   143.8738
  78     0.1000     0.0061    99.8700     1.4899    75.4600   143.9441
  79     0.1000     0.0049    99.9080     1.5030    75.1400   143.8720
  80     0.1000     0.0052    99.8920     1.5324    75.1800   143.9522
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0041    99.9200     1.4846    75.2900   143.9812
  82     0.1000     0.0057    99.8560     1.5055    75.2900   143.8353
  83     0.1000     0.0041    99.9240     1.5285    75.1700   143.9608
  84     0.1000     0.0050    99.8960     1.5428    75.0800   143.8777
