Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7156    12.9020     5.0662     7.5000   148.0164
   2     0.1000     2.9495    25.7320     3.6471    19.6800   143.8213
   3     0.1000     2.4294    36.0700     2.9301    29.8700   143.8448
   4     0.1000     2.0619    43.9240     2.7057    35.2300   143.7783
   5     0.1000     1.7900    50.2700     2.2308    42.7500   143.7912
   6     0.1000     1.5847    55.1360     2.3281    43.1000   143.8315
   7     0.1000     1.4396    58.6320     1.9291    50.1300   143.8310
   8     0.1000     1.3120    62.0660     1.7099    53.9300   143.8140
   9     0.1000     1.1988    64.9840     1.7234    54.3800   143.8754
  10     0.1000     1.1038    67.4720     2.3421    46.5800   143.7910
  11     0.1000     1.0214    69.7320     1.6425    56.3900   143.7985
  12     0.1000     0.9506    71.5540     1.7432    56.5600   143.8199
  13     0.1000     0.8742    73.5880     1.7545    56.3000   143.8774
  14     0.1000     0.8115    75.2820     1.4786    61.2400   143.7905
  15     0.1000     0.7527    77.2020     1.6256    59.9600   143.8177
  16     0.1000     0.7053    78.0840     1.4011    62.7000   143.8421
  17     0.1000     0.6485    79.8180     1.5869    60.7300   143.8020
  18     0.1000     0.5973    81.4120     1.2978    65.8100   143.7921
  19     0.1000     0.5532    82.7640     1.5077    63.6000   143.8032
  20     0.1000     0.5085    83.9960     1.6731    59.0000   143.7821
  21     0.1000     0.4698    85.0620     1.8130    59.7500   143.7629
  22     0.1000     0.4334    86.0740     1.5952    64.5400   143.7895
  23     0.1000     0.3913    87.5400     1.6882    62.1100   143.9649
  24     0.1000     0.3572    88.4700     1.4190    67.1000   143.7912
  25     0.1000     0.3329    89.2700     1.3189    67.5700   143.8044
  26     0.1000     0.3003    90.4100     1.4120    67.7300   143.8009
  27     0.1000     0.2788    91.0680     1.4990    65.6500   143.8339
  28     0.1000     0.2567    91.7620     1.6507    65.0100   143.7718
  29     0.1000     0.2190    93.1280     1.7198    65.3300   143.8078
  30     0.1000     0.2115    93.4280     1.5724    65.8600   143.7880
  31     0.1000     0.1917    93.9440     1.5978    68.3000   143.8272
  32     0.1000     0.1710    94.5520     1.9313    62.8500   143.8494
  33     0.1000     0.1587    94.9960     1.6670    67.8300   143.8312
  34     0.1000     0.1368    95.7080     1.8058    65.8700   143.7986
  35     0.1000     0.1347    95.7700     1.8353    66.2600   143.7888
  36     0.1000     0.1244    96.1240     1.3940    69.8800   143.8864
  37     0.1000     0.1094    96.6440     1.5538    69.8400   143.7721
  38     0.1000     0.0976    96.9940     1.5777    68.8500   143.8070
  39     0.1000     0.0907    97.2660     1.5068    71.3600   143.8753
  40     0.1000     0.0755    97.8360     1.6709    69.3500   143.7942
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0716    97.9480     1.6420    70.5600   143.8439
  42     0.1000     0.0656    98.1300     1.5725    70.0800   143.8909
  43     0.1000     0.0674    98.0460     2.2193    62.9200   143.7828
  44     0.1000     0.0612    98.2200     1.5022    71.9900   143.8230
  45     0.1000     0.0560    98.3680     1.5773    71.4600   143.8217
  46     0.1000     0.0548    98.4180     1.5173    72.0700   143.8512
  47     0.1000     0.0528    98.4200     1.7768    68.1000   143.8603
  48     0.1000     0.0446    98.7900     1.8188    69.4400   143.7953
  49     0.1000     0.0438    98.7800     1.5164    72.8000   143.7795
  50     0.1000     0.0363    99.0420     1.6036    72.2200   143.7872
  51     0.1000     0.0377    98.9720     1.5875    72.2300   143.8236
  52     0.1000     0.0318    99.1640     1.6313    72.0900   143.8817
  53     0.1000     0.0315    99.1680     1.6198    70.9900   143.7363
  54     0.1000     0.0336    99.0820     1.5984    71.4700   143.7993
  55     0.1000     0.0297    99.2060     1.5782    72.6500   143.8039
  56     0.1000     0.0235    99.4200     1.5399    72.9100   143.8301
  57     0.1000     0.0221    99.4520     1.4699    74.2400   143.7971
  58     0.1000     0.0182    99.5480     1.4856    73.8600   143.7148
  59     0.1000     0.0156    99.6540     1.5003    72.9300   143.7990
  60     0.1000     0.0157    99.6160     1.5694    73.3300   143.7910
  61     0.1000     0.0191    99.4800     1.6841    72.1100   143.8045
  62     0.1000     0.0227    99.4040     1.5476    73.5800   143.8213
  63     0.1000     0.0117    99.7480     1.5107    74.1300   143.7685
  64     0.1000     0.0103    99.7880     1.4952    74.2700   143.7656
  65     0.1000     0.0110    99.7600     1.4867    74.4300   143.8059
  66     0.1000     0.0108    99.7620     1.6385    73.5000   143.7861
  67     0.1000     0.0106    99.7760     1.5403    74.4600   143.7983
  68     0.1000     0.0088    99.8220     1.5157    74.0100   143.7211
  69     0.1000     0.0078    99.8480     1.5561    74.5100   143.8357
  70     0.1000     0.0118    99.7340     1.5381    73.6900   143.8323
  71     0.1000     0.0091    99.7940     1.5147    74.3800   143.7703
  72     0.1000     0.0087    99.7940     1.5517    74.4400   143.8417
  73     0.1000     0.0105    99.7600     1.5897    74.4200   143.7639
  74     0.1000     0.0114    99.7420     1.5234    73.7100   143.7929
  75     0.1000     0.0090    99.7860     1.5091    74.5400   143.7887
  76     0.1000     0.0095    99.7840     1.5459    74.1800   143.7773
  77     0.1000     0.0095    99.7940     1.5426    74.2600   143.7581
  78     0.1000     0.0107    99.7560     1.6498    73.6500   143.8927
  79     0.1000     0.0095    99.7720     1.5845    74.5900   143.8488
  80     0.1000     0.0101    99.7300     1.6172    73.0500   143.7840
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0105    99.7500     1.6788    73.2600   143.8157
  82     0.1000     0.0163    99.5080     1.6092    73.2600   143.7625
  83     0.1000     0.0134    99.6580     1.5977    73.8900   143.7794
  84     0.1000     0.0145    99.6200     1.6396    73.8400   143.7627
