Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     1.4310    46.7940     1.9213    41.4300    92.0726
   2     0.1000     0.8993    68.0920     1.2699    60.7000    89.0931
   3     0.1000     0.6803    76.4700     0.8162    73.9400    89.3443
   4     0.1000     0.5551    80.7700     1.4895    64.1900    89.1327
   5     0.1000     0.4697    83.9000     0.7390    75.9700    89.1488
   6     0.1000     0.4118    85.7380     0.5611    80.5900    89.1290
   7     0.1000     0.3654    87.3020     0.7060    79.0800    89.1884
   8     0.1000     0.3299    88.6620     0.8174    75.8800    89.1366
   9     0.1000     0.2933    89.7580     0.4856    84.6200    89.1124
  10     0.1000     0.2673    90.7720     0.4486    85.6000    89.2711
  11     0.1000     0.2456    91.5940     0.4201    86.9300    89.1775
  12     0.1000     0.2221    92.2680     0.5247    85.0600    89.2143
  13     0.1000     0.2032    92.8580     0.4452    86.7100    89.3123
  14     0.1000     0.1883    93.4000     0.4769    85.7800    89.0876
  15     0.1000     0.1740    93.8400     0.4942    86.2000    89.2255
  16     0.1000     0.1596    94.4400     0.4071    87.8500    89.0897
  17     0.1000     0.1438    94.9240     0.3509    89.5000    89.2252
  18     0.1000     0.1308    95.3740     0.5440    86.0300    89.3648
  19     0.1000     0.1275    95.4800     0.4286    87.9300    89.0874
  20     0.1000     0.1105    96.1780     0.7259    83.1600    89.2616
  21     0.1000     0.1075    96.3040     0.5265    86.5800    89.1008
  22     0.1000     0.0958    96.5780     0.8343    82.1600    89.2437
  23     0.1000     0.0885    96.9820     0.4340    88.8400    89.0977
  24     0.1000     0.0812    97.1660     0.4212    89.5300    89.1347
  25     0.1000     0.0765    97.3740     0.6415    85.6800    89.2565
  26     0.1000     0.0708    97.5160     0.4334    89.6300    89.2770
  27     0.1000     0.0630    97.8200     0.4343    89.5200    89.2928
  28     0.1000     0.0636    97.7380     0.4019    90.0300    89.1769
  29     0.1000     0.0559    98.0440     0.4609    89.9400    89.0760
  30     0.1000     0.0521    98.1900     0.3833    90.8200    89.2056
  31     0.1000     0.0516    98.2360     0.6169    87.0900    89.1547
  32     0.1000     0.0470    98.4080     0.3368    91.8600    89.1733
  33     0.1000     0.0427    98.5340     0.3725    91.6100    89.0730
  34     0.1000     0.0410    98.5960     0.3577    91.6800    89.1884
  35     0.1000     0.0391    98.6020     0.3809    91.4600    89.1290
  36     0.1000     0.0375    98.7060     0.3790    91.3500    89.1343
  37     0.1000     0.0340    98.8200     0.3486    91.8300    89.1699
  38     0.1000     0.0337    98.8320     0.3403    91.8900    89.2107
  39     0.1000     0.0263    99.1100     0.3772    91.8000    89.2038
  40     0.1000     0.0310    98.9400     0.4630    90.5900    89.3089
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0339    98.8460     0.4026    91.7700    89.2277
  42     0.1000     0.0257    99.1120     0.5410    89.4200    88.9983
  43     0.1000     0.0255    99.1320     0.4896    90.6500    89.0793
  44     0.1000     0.0215    99.2640     0.6332    88.5100    89.1225
  45     0.1000     0.0159    99.4840     0.3756    92.2600    89.1360
  46     0.1000     0.0220    99.1980     0.3613    92.5000    89.1691
  47     0.1000     0.0155    99.5120     0.3891    92.3000    89.0497
  48     0.1000     0.0182    99.3820     0.4330    91.5700    89.1196
  49     0.1000     0.0208    99.2760     0.4067    91.7000    89.1596
  50     0.1000     0.0178    99.4060     0.3930    91.8600    89.0796
  51     0.1000     0.0185    99.4000     0.4876    90.6600    89.1024
  52     0.1000     0.0155    99.4760     0.3711    92.3000    89.1130
  53     0.1000     0.0149    99.4840     0.3592    92.5400    89.0188
  54     0.1000     0.0142    99.5080     0.6291    89.0500    89.0883
  55     0.1000     0.0150    99.4680     0.5548    89.6500    89.0831
  56     0.1000     0.0151    99.4840     0.4201    91.8400    89.1541
  57     0.1000     0.0140    99.5520     0.3910    92.2400    89.4761
  58     0.1000     0.0149    99.5020     0.3568    92.5200    89.0874
  59     0.1000     0.0125    99.5940     0.4264    92.2600    89.1110
  60     0.1000     0.0129    99.5460     0.4025    92.2300    89.1288
  61     0.1000     0.0091    99.7440     0.3881    92.2900    89.1750
  62     0.1000     0.0097    99.6940     0.4466    91.8000    89.1920
  63     0.1000     0.0113    99.6460     0.3659    92.7500    89.1637
  64     0.1000     0.0072    99.7740     0.6249    90.2300    89.0930
  65     0.1000     0.0075    99.7560     0.4188    92.3200    89.1140
  66     0.1000     0.0087    99.7060     0.4068    92.7600    89.1186
  67     0.1000     0.0093    99.7120     0.3899    92.7700    89.0336
  68     0.1000     0.0090    99.6920     0.4388    92.2700    89.1344
  69     0.1000     0.0124    99.5840     0.4101    92.3000    89.1300
  70     0.1000     0.0087    99.7200     0.3643    93.2400    89.1924
  71     0.1000     0.0095    99.7000     0.4363    92.0300    89.2974
  72     0.1000     0.0145    99.5040     0.4778    91.5800    89.2155
  73     0.1000     0.0093    99.6920     0.3916    92.6100    89.1811
  74     0.1000     0.0073    99.7740     0.4305    92.3700    88.9840
  75     0.1000     0.0073    99.7760     0.6930    89.5500    89.1368
  76     0.1000     0.0096    99.6640     0.3938    92.6600    89.0681
  77     0.1000     0.0072    99.7780     0.4621    91.9800    89.1549
  78     0.1000     0.0062    99.8120     0.3762    93.1000    89.1126
  79     0.1000     0.0064    99.8000     0.3832    92.9600    89.0512
  80     0.1000     0.0067    99.7740     0.5476    90.8100    89.1128
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0080    99.7360     0.3845    92.7500    89.0963
  82     0.1000     0.0070    99.7720     0.4844    90.9300    89.1114
  83     0.1000     0.0058    99.8260     0.3955    93.1000    89.1223
  84     0.1000     0.0072    99.7620     0.4066    92.6500    89.1628
