Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2109    16.7320     2.2023    16.9800    15.4174      0.9252
   2     0.1000     1.9684    22.8300     1.9481    24.1400    13.2877      0.8789
   3     0.1000     1.9773    21.4980     1.9518    22.7400    13.5070      0.8398
   4     0.1000     1.8486    26.2720     1.8068    27.6800    13.3818      0.8049
   5     0.1000     1.7140    32.6680     1.6590    33.7900    13.5095      0.7730
   6     0.1000     1.6164    34.7740     1.5743    36.9800    13.7969      0.7434
   7     0.1000     1.5073    40.9260     1.4797    41.8200    13.4438      0.7157
   8     0.1000     1.4417    45.0760     1.4261    45.8100    13.4500      0.6896
   9     0.1000     1.2836    52.7620     1.2942    52.4700    13.6306      0.6650
  10     0.1000     1.1931    56.9060     1.1931    56.7600    13.5273      0.6416
  11     0.1000     1.0289    63.2700     1.0192    63.0900    13.5761      0.6195
  12     0.1000     0.9679    65.6180     0.9852    64.6900    13.6022      0.5984
  13     0.1000     0.9388    66.9860     0.9420    67.2100    13.6770      0.5783
  14     0.1000     0.9044    67.8020     0.9353    67.1800    13.5514      0.5590
  15     0.1000     0.8412    70.5780     0.8776    69.8000    13.5941      0.5406
  16     0.1000     0.6977    75.8300     0.7337    74.8200    13.4216      0.5229
