Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2235    14.9740     2.1200    17.9600   119.4641      0.9627
   2     0.1000     2.0594    20.9680     1.9779    24.9000   119.7252      0.9470
   3     0.1000     1.9185    26.0240     1.9189    25.2400   119.8191      0.9348
   4     0.1000     1.7669    31.8220     1.5677    40.1000   119.8291      0.9248
   5     0.1000     1.6130    39.4660     1.5277    43.2600   119.8011      0.9158
   6     0.1000     1.4830    45.3080     1.4431    48.1100   119.7957      0.9077
   7     0.1000     1.3524    51.2440     1.3307    52.7300   119.8246      0.9003
   8     0.1000     1.2139    56.8260     1.1225    60.9500   119.8043      0.8934
   9     0.1000     1.0886    61.6360     0.9539    66.0100   119.8034      0.8871
  10     0.1000     0.9837    65.3440     1.0645    63.4900   119.8506      0.8811
  11     0.1000     0.9048    68.7900     0.8509    70.6800   119.8467      0.8754
  12     0.1000     0.8302    71.4300     0.7503    74.5600   119.8056      0.8699
  13     0.1000     0.7675    73.7960     0.7945    73.0900   119.7548      0.8648
  14     0.1000     0.7093    75.8320     0.6963    75.7400   119.7816      0.8598
  15     0.1000     0.6693    77.5700     0.7206    75.6600   119.7887      0.8550
