Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.3466    10.0000     2.3466    10.0000    15.2645      0.9627
   2     0.1000     2.1980    16.7000     2.1894    17.4100    13.2879      0.9469
   3     0.1000     1.8956    23.9240     1.8841    24.3700    13.2877      0.9348
   4     0.1000     1.7662    29.0960     1.7339    29.6300    13.2134      0.9246
   5     0.1000     1.6509    33.7900     1.6289    33.7400    13.4121      0.9157
   6     0.1000     1.5303    39.7620     1.5179    39.5300    13.1732      0.9076
   7     0.1000     1.4279    46.5540     1.4158    46.8700    13.3781      0.9001
   8     0.1000     1.2357    54.9920     1.2400    54.4800    13.2828      0.8932
   9     0.1000     1.2051    57.1320     1.1867    57.7300    13.2387      0.8869
  10     0.1000     1.1852    58.2160     1.2524    57.2600    13.2462      0.8808
  11     0.1000     0.8919    68.9380     0.8949    69.4700    13.3748      0.8751
  12     0.1000     0.7600    73.6040     0.7796    72.8500    13.4518      0.8697
  13     0.1000     0.7374    74.4340     0.7578    74.1500    13.1690      0.8645
  14     0.1000     0.7001    75.9120     0.7312    75.2200    13.1604      0.8595
  15     0.1000     0.6452    77.9740     0.6932    77.0200    13.3163      0.8548
  16     0.1000     0.6010    79.5580     0.6434    78.5800    13.3726      0.8502
