Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.0851    20.9040     2.0810    20.9800    15.3515      0.9627
   2     0.1000     2.1027    18.5680     2.0754    19.7800    13.3020      0.9469
   3     0.1000     1.7922    29.5460     1.7524    30.6800    13.2538      0.9349
   4     0.1000     1.6299    36.6980     1.6027    37.5700    13.2882      0.9247
   5     0.1000     1.5369    42.0900     1.5013    42.8300    13.4023      0.9157
   6     0.1000     1.3404    50.6920     1.3253    50.3200    13.2437      0.9077
   7     0.1000     1.3076    52.9300     1.2700    53.8200    13.5004      0.9003
   8     0.1000     1.0604    61.9420     1.0442    62.8000    13.2385      0.8934
   9     0.1000     0.9764    65.0320     0.9659    65.3800    13.2624      0.8870
  10     0.1000     0.8973    68.3240     0.9329    67.4400    13.2417      0.8809
  11     0.1000     0.8439    70.8820     0.8412    71.5100    13.1676      0.8752
  12     0.1000     0.7655    73.9840     0.7847    73.3800    13.4617      0.8699
  13     0.1000     0.6860    76.6740     0.7258    75.5500    13.4355      0.8646
  14     0.1000     0.6428    78.2680     0.6758    77.4600    13.3116      0.8597
  15     0.1000     0.6283    78.4800     0.6781    77.1500    13.3087      0.8549
  16     0.1000     0.5711    80.3500     0.6365    78.6400    13.2902      0.8504
