Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.1338    19.7320     2.1246    19.8000    16.3421      1.0000
   2     0.1000     1.9315    24.5280     1.9215    25.7400    15.5753      1.0000
   3     0.1000     1.7825    28.9140     1.7464    29.5200    15.7144      1.0000
   4     0.1000     1.7241    32.8140     1.6649    34.2900    16.0047      1.0000
   5     0.1000     1.6091    40.6060     1.5509    41.5200    15.6034      1.0000
   6     0.1000     1.3933    47.9640     1.3753    47.7500    15.6260      1.0000
   7     0.1000     1.2930    53.3560     1.2492    54.2800    15.6844      1.0000
   8     0.1000     1.1881    57.2000     1.1950    57.0600    16.0671      1.0000
   9     0.1000     1.0155    63.7820     1.0072    64.5300    15.6154      1.0000
  10     0.1000     0.9172    67.3440     0.9329    67.7300    15.6117      1.0000
  11     0.1000     0.8764    69.2080     0.8614    69.9900    15.5719      1.0000
  12     0.1000     0.7609    73.5240     0.7969    72.9300    16.1306      1.0000
  13     0.1000     0.7158    75.2380     0.7491    75.0300    15.6209      1.0000
  14     0.1000     0.6763    77.0900     0.7414    76.1100    15.6855      1.0000
  15     0.1000     0.6207    78.8520     0.6624    77.9500    15.7330      1.0000
  16     0.1000     0.6365    79.0080     0.6900    77.8200    16.0530      1.0000
