Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.1197    18.7240     2.1103    18.5700    15.2719      0.9750
   2     0.1000     1.8893    26.7320     1.8766    27.4500    13.2874      0.9671
   3     0.1000     1.7454    33.1160     1.7005    34.6000    13.2259      0.9614
   4     0.1000     1.6009    38.6440     1.5823    39.2900    13.2528      0.9567
   5     0.1000     1.4796    44.8300     1.4422    45.6700    13.1730      0.9528
   6     0.1000     1.3311    50.9940     1.3091    50.9600    13.3552      0.9493
   7     0.1000     1.2451    54.9380     1.2136    55.5200    13.3678      0.9462
   8     0.1000     1.0656    61.0920     1.0671    60.9700    13.3481      0.9433
   9     0.1000     0.9380    66.5540     0.9403    66.6300    13.2360      0.9407
  10     0.1000     0.8354    70.3640     0.8503    70.0400    13.3772      0.9382
  11     0.1000     0.8391    70.7560     0.8528    70.4300    13.1422      0.9359
  12     0.1000     0.7248    74.8900     0.7654    74.2000    13.1990      0.9337
  13     0.1000     0.6536    77.4680     0.6978    76.5600    13.2574      0.9317
  14     0.1000     0.6865    76.6460     0.7235    75.8400    13.4670      0.9297
  15     0.1000     0.7087    75.4560     0.7726    74.1200    13.6045      0.9278
  16     0.1000     0.6420    78.4880     0.6662    77.9100    13.4199      0.9260
