Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.1649    19.4900     2.1573    19.6100    15.4621      0.9252
   2     0.1000     1.9720    22.7900     1.9625    23.8500    13.4474      0.8789
   3     0.1000     2.0366    20.0480     2.0077    21.1900    13.5336      0.8398
   4     0.1000     1.8525    26.9420     1.8103    28.1200    13.3343      0.8049
   5     0.1000     1.7720    31.0800     1.7190    32.0800    13.4837      0.7729
   6     0.1000     1.6485    33.9180     1.6115    35.7900    13.3922      0.7433
   7     0.1000     1.5297    40.0580     1.5111    40.9300    13.5710      0.7157
   8     0.1000     1.4251    46.1100     1.4105    46.2100    13.3266      0.6896
   9     0.1000     1.2881    52.8320     1.2781    52.5400    13.4602      0.6649
  10     0.1000     1.2256    55.5920     1.2397    55.0600    13.5620      0.6417
  11     0.1000     1.1639    58.0620     1.1366    59.0200    13.3824      0.6195
  12     0.1000     0.9637    66.2380     0.9575    66.2100    13.3356      0.5984
  13     0.1000     0.9355    66.7880     0.9264    67.8600    13.4363      0.5783
  14     0.1000     0.8652    69.0060     0.8841    68.8400    13.2566      0.5590
  15     0.1000     0.8294    70.4540     0.8691    69.6700    13.4686      0.5407
  16     0.1000     0.7314    74.2600     0.7689    73.5700    13.3356      0.5230
