Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.3024    10.5180     2.3015    10.3500   117.3868      0.9870
   2     0.1000     2.2985    10.6920     2.2847    10.2100   117.2286      0.9818
   3     0.1000     2.2446    13.7940     2.1679    17.2200   117.2564      0.9779
   4     0.1000     2.1825    18.1160     2.1380    18.6300   117.3532      0.9745
   5     0.1000     2.1465    20.1060     2.0816    22.9900   117.3050      0.9715
   6     0.1000     2.1282    20.6200     2.0642    24.4400   117.2963      0.9688
   7     0.1000     2.0903    21.9680     2.1390    17.9700   117.3483      0.9663
   8     0.1000     2.0669    22.5200     2.0215    24.5400   117.2809      0.9639
   9     0.1000     2.0936    21.4560     2.0421    22.9600   117.2609      0.9618
  10     0.1000     2.0442    23.2860     1.9841    22.6500   117.3089      0.9597
  11     0.1000     1.9890    24.6620     1.8773    29.5600   117.3603      0.9578
  12     0.1000     2.0036    23.9280     1.8820    28.8300   117.2820      0.9559
  13     0.1000     1.9213    26.9740     1.8092    30.9900   117.3277      0.9541
  14     0.1000     1.9064    27.5780     1.8110    32.0900   117.2946      0.9524
  15     0.1000     1.8914    28.5460     1.7915    32.5200   117.2897      0.9507
