Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2365    14.0480     2.1048    17.0700   118.8814      0.9751
   2     0.1000     2.0641    19.7420     1.9208    23.4500   119.1744      0.9672
   3     0.1000     1.9312    24.1060     2.5119    14.5800   119.1555      0.9614
   4     0.1000     1.7986    29.7280     1.6270    36.8100   119.1144      0.9568
   5     0.1000     1.6529    36.3780     1.6676    35.4000   119.1439      0.9528
   6     0.1000     1.5271    42.1440     1.6403    38.9600   119.1422      0.9492
   7     0.1000     1.4124    48.1860     1.2576    53.7200   119.1671      0.9461
   8     0.1000     1.2753    54.3580     1.1118    60.1700   119.1513      0.9432
   9     0.1000     1.1202    60.4940     0.9520    66.5900   119.1490      0.9406
  10     0.1000     1.0096    64.3640     1.0536    63.1900   119.1662      0.9382
  11     0.1000     0.9259    67.9140     0.8224    71.6100   119.1583      0.9358
  12     0.1000     0.8465    70.9840     0.7658    74.3200   119.1367      0.9337
  13     0.1000     0.7834    73.3400     0.7466    73.7700   119.1382      0.9315
  14     0.1000     0.7220    75.5260     0.7605    73.8400   119.1420      0.9296
  15     0.1000     0.6720    77.2780     0.7234    75.9300   119.1444      0.9278
