Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2225    15.0480     2.1081    17.7500    16.1129      0.9751
   2     0.1000     2.0490    20.8480     2.0053    23.8500    14.5358      0.9672
   3     0.1000     1.8801    27.3400     2.1469    21.4000    14.6435      0.9614
   4     0.1000     1.7343    33.9060     1.5162    42.0400    14.6119      0.9567
   5     0.1000     1.5855    40.6740     1.4887    44.5200    14.5990      0.9527
   6     0.1000     1.4603    46.5080     1.3966    49.9500    14.6120      0.9493
   7     0.1000     1.3239    52.5140     1.2811    54.7000    14.5747      0.9462
   8     0.1000     1.1957    57.5240     1.3477    52.8600    14.5836      0.9433
   9     0.1000     1.0589    62.8880     0.9203    68.0000    14.5752      0.9407
  10     0.1000     0.9676    66.3520     0.9813    66.5400    14.5814      0.9382
  11     0.1000     0.8919    69.3520     0.8194    71.9200    14.6427      0.9359
  12     0.1000     0.8096    72.2980     0.7584    74.1500    14.6056      0.9337
  13     0.1000     0.7621    74.1320     0.7577    73.9800    14.6101      0.9316
  14     0.1000     0.7015    76.3460     0.7142    75.5200    14.6083      0.9296
  15     0.1000     0.6548    77.9460     0.6959    76.6300    14.5873      0.9278
