Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.1702    18.0360     2.1548    19.7500    15.4062      0.9627
   2     0.1000     2.3678    11.5260     2.3423    11.9500    13.2862      0.9469
   3     0.1000     1.8483    27.4520     1.8176    28.3200    13.4202      0.9348
   4     0.1000     1.6947    33.9880     1.6639    34.4900    13.3496      0.9247
   5     0.1000     1.5511    41.6580     1.5018    42.6200    13.2402      0.9158
   6     0.1000     1.3897    47.3980     1.3628    47.6500    13.2574      0.9077
   7     0.1000     1.3263    51.9280     1.2755    53.8100    13.3870      0.9003
   8     0.1000     1.0914    60.3320     1.0928    60.5300    13.2825      0.8935
   9     0.1000     0.9917    65.2120     0.9854    65.2500    13.5853      0.8871
  10     0.1000     0.9619    66.4760     0.9827    66.4600    13.2990      0.8810
  11     0.1000     0.8585    70.1480     0.8498    70.9600    13.1916      0.8752
  12     0.1000     0.6961    75.7240     0.7246    75.5300    13.2759      0.8699
  13     0.1000     0.7284    75.1620     0.7452    75.1500    13.3071      0.8646
  14     0.1000     0.6289    78.3640     0.6854    77.2600    13.3011      0.8597
  15     0.1000     0.6202    78.6680     0.6769    77.5100    13.3412      0.8549
  16     0.1000     0.5596    80.9220     0.6284    79.1800    13.2075      0.8503
