Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2801    12.0520     2.2045    16.6800    86.1724      0.9627
   2     0.1000     2.2159    15.3120     2.0622    20.1100    85.3040      0.9469
   3     0.1000     1.9966    21.4180     1.9089    26.7200    85.2463      0.9348
   4     0.1000     1.8577    26.8440     1.6830    31.7300    85.2732      0.9246
   5     0.1000     1.7386    31.8900     1.7309    31.6100    85.1880      0.9156
   6     0.1000     1.6327    36.7080     1.8708    30.1900    85.1437      0.9075
   7     0.1000     1.5371    41.7720     1.4318    46.1300    85.1171      0.9001
   8     0.1000     1.4336    47.4020     1.2439    54.6600    85.1158      0.8932
   9     0.1000     1.2797    54.0880     1.1113    60.3200    85.1392      0.8868
  10     0.1000     1.1512    59.1480     1.1135    60.6200    85.1696      0.8808
  11     0.1000     1.0545    62.9180     0.8860    68.6000    85.0721      0.8751
  12     0.1000     0.9574    66.6780     0.8841    69.1800    85.0513      0.8696
  13     0.1000     0.8774    69.5680     0.9373    67.5100    85.1710      0.8644
  14     0.1000     0.8105    71.9700     0.8539    70.2600    85.1826      0.8594
  15     0.1000     0.7604    73.9900     0.7730    73.5000    85.1691      0.8546
