Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2301    14.4320     2.0702    22.6200    16.1891      0.9481
   2     0.1000     2.2138    15.0120     2.1225    18.2400    14.5196      0.9215
   3     0.1000     1.9940    22.0520     1.8985    23.0400    14.5059      0.9001
   4     0.1000     1.8640    26.7560     1.6992    32.8500    14.5169      0.8816
   5     0.1000     1.7485    31.7580     1.7808    31.2400    14.5197      0.8648
   6     0.1000     1.6308    37.1980     1.8700    27.7300    14.5177      0.8495
   7     0.1000     1.5488    42.1120     1.5366    43.6000    14.5082      0.8354
   8     0.1000     1.4383    47.3340     1.2357    55.3500    14.5076      0.8221
   9     0.1000     1.3057    53.1620     1.0877    60.9900    14.5320      0.8095
  10     0.1000     1.1790    58.0380     1.0705    61.3800    14.5232      0.7975
  11     0.1000     1.0778    62.2340     0.9718    65.5500    14.5481      0.7862
  12     0.1000     0.9799    65.7540     0.9071    67.9800    14.5248      0.7754
  13     0.1000     0.9099    68.4020     0.8449    70.7200    14.5408      0.7650
  14     0.1000     0.8421    70.8780     0.7811    73.8500    14.5290      0.7550
  15     0.1000     0.7780    73.3920     0.9336    69.0000    14.5272      0.7454
