Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2881    11.4720     2.2462    13.4300   119.9092      0.9252
   2     0.1000     2.2837    11.7800     2.1422    21.1300   120.0119      0.8789
   3     0.1000     2.1964    16.9240     2.0352    24.2100   120.0082      0.8397
   4     0.1000     2.0211    22.9700     1.9430    24.3100   120.0478      0.8048
   5     0.1000     1.9049    26.6580     1.9580    22.4400   119.9400      0.7728
   6     0.1000     1.7789    30.7840     1.8718    28.3500   119.9129      0.7432
   7     0.1000     1.6879    34.9720     1.5303    40.6200   119.9542      0.7155
   8     0.1000     1.5884    38.9680     1.5467    40.7800   120.0199      0.6894
   9     0.1000     1.4967    43.8100     1.3804    48.4700   120.0297      0.6646
  10     0.1000     1.4093    48.4800     1.3189    50.6700   119.8915      0.6412
  11     0.1000     1.3072    53.0820     1.3073    53.2300   120.0279      0.6191
  12     0.1000     1.1938    57.4240     1.1357    59.7900   119.8879      0.5980
  13     0.1000     1.0961    61.5640     0.9578    66.5600   120.0055      0.5779
  14     0.1000     1.0191    64.3880     0.9366    67.8500   120.0259      0.5586
  15     0.1000     0.9384    67.3520     0.9237    67.7800   120.0028      0.5401
