Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.0551    22.1760     2.0432    22.7100    15.5095      0.9627
   2     0.1000     2.2769    14.7380     2.2072    16.1700    13.2637      0.9469
   3     0.1000     1.7784    31.8300     1.7322    33.1000    13.3217      0.9348
   4     0.1000     1.5748    39.0820     1.5550    39.8800    13.3407      0.9247
   5     0.1000     1.5233    42.7700     1.4716    44.0500    13.3785      0.9157
   6     0.1000     1.4206    46.8440     1.3649    48.9100    13.2526      0.9077
   7     0.1000     1.2017    56.8480     1.1774    57.3000    13.2908      0.9003
   8     0.1000     1.0961    60.4620     1.1107    59.8500    13.1918      0.8934
   9     0.1000     0.9175    67.6660     0.9177    67.4000    13.2817      0.8870
  10     0.1000     0.9271    67.4200     0.9383    67.4800    13.3690      0.8810
  11     0.1000     0.8899    68.8840     0.8909    69.5400    13.2266      0.8753
  12     0.1000     0.7152    75.3740     0.7398    74.8900    13.2296      0.8699
  13     0.1000     0.7143    75.3620     0.7542    74.8200    13.5439      0.8647
  14     0.1000     0.9292    69.2080     0.9871    68.8800    13.2853      0.8598
  15     0.1000     0.6548    77.5860     0.7083    76.2600    13.3896      0.8551
  16     0.1000     0.5552    81.1580     0.6031    79.7800    13.1567      0.8505
