Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  67     0.1000     0.0891    97.0740     0.5133    87.7600    15.4232      1.0000
  68     0.1000     0.0838    97.2800     0.5196    87.2100    15.2899      1.0000
  69     0.1000     0.0873    97.1500     0.5308    87.5000    15.3996      1.0000
  70     0.1000     0.0775    97.5240     0.5533    88.0000    15.3818      1.0000
  71     0.1000     0.0784    97.3660     0.5285    87.8900    15.5106      1.0000
  72     0.1000     0.0803    97.3180     0.5017    88.0800    15.3796      1.0000
  73     0.1000     0.0714    97.6160     0.5269    87.9400    15.5428      1.0000
  74     0.1000     0.0709    97.5920     0.5491    88.2000    15.3851      1.0000
  75     0.1000     0.0690    97.8020     0.4740    88.8700    15.3763      1.0000
  76     0.1000     0.0683    97.7960     0.5620    86.6500    15.3415      1.0000
  77     0.1000     0.0651    97.8700     0.5815    87.0800    15.3352      1.0000
  78     0.1000     0.0642    97.8960     0.5159    88.3800    15.3577      1.0000
  79     0.1000     0.0634    97.8700     0.5600    88.2700    15.3171      1.0000
  80     0.1000     0.0623    97.9600     0.5441    88.3400    15.4055      1.0000
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  81     0.1000     0.0556    98.1660     0.7086    87.1600    15.5263      1.0000
  82     0.1000     0.0609    98.0260     0.5442    88.2900    15.3979      1.0000
  83     0.1000     0.0570    98.2100     0.6568    86.0800    15.3470      1.0000
  84     0.1000     0.0632    97.9240     0.5101    88.8800    15.3869      1.0000
  85     0.1000     0.0559    98.1820     0.5372    88.6000    15.4061      1.0000
  86     0.1000     0.0540    98.2520     0.6660    87.1200    15.3369      1.0000
  87     0.1000     0.0535    98.2600     0.5197    88.4300    15.3999      1.0000
  88     0.1000     0.0474    98.4380     0.6361    87.4200    15.3979      1.0000
  89     0.1000     0.0471    98.4700     0.5753    88.2000    15.3738      1.0000
  90     0.1000     0.0473    98.5460     0.5435    88.5900    15.4319      1.0000
  91     0.1000     0.0480    98.3840     0.5381    88.2700    15.3917      1.0000
  92     0.1000     0.0474    98.4500     0.5855    87.6200    15.3473      1.0000
  93     0.1000     0.0452    98.5700     0.5723    88.8900    15.4867      1.0000
  94     0.1000     0.0437    98.5700     0.5415    88.5800    15.2845      1.0000
  95     0.1000     0.0426    98.6320     0.5740    88.6600    15.3052      1.0000
  96     0.1000     0.0400    98.7360     0.6149    87.6000    15.3042      1.0000
  97     0.1000     0.0437    98.5960     0.6141    88.1000    15.2775      1.0000
  98     0.1000     0.0477    98.4640     0.5693    88.4200    15.2873      1.0000
  99     0.1000     0.0393    98.7240     0.5505    89.2400    15.3691      1.0000
 100     0.1000     0.0424    98.6720     0.5434    88.6100    15.3707      1.0000
 101     0.1000     0.0365    98.8360     0.6160    88.2600    15.3555      1.0000
 102     0.1000     0.0468    98.5080     0.7013    84.9100    15.4656      1.0000
 103     0.1000     0.0404    98.7040     0.5517    88.4400    15.3183      1.0000
 104     0.1000     0.0380    98.8040     0.5518    88.4100    15.3464      1.0000
 105     0.1000     0.0361    98.8080     0.5858    88.6000    15.2879      1.0000
 106     0.1000     0.0396    98.7280     0.6135    88.6100    15.3151      1.0000
 107     0.1000     0.0337    98.9180     0.5274    88.9700    15.3390      1.0000
 108     0.1000     0.0325    98.9200     0.5772    88.5800    15.3589      1.0000
 109     0.1000     0.0355    98.8840     0.5728    88.3700    15.2751      1.0000
 110     0.1000     0.0333    98.8940     0.5788    89.1800    15.3718      1.0000
 111     0.1000     0.0307    99.0080     0.5944    88.6400    15.3074      1.0000
 112     0.1000     0.0326    98.9860     0.5673    88.9500    15.4298      1.0000
 113     0.1000     0.0300    98.9720     0.5802    89.1400    15.3672      1.0000
 114     0.1000     0.0312    98.9900     0.5608    89.1600    15.3573      1.0000
 115     0.1000     0.0324    98.9660     0.5785    88.9800    15.3486      1.0000
 116     0.1000     0.0347    98.8560     0.5821    88.6900    15.3093      1.0000
 117     0.1000     0.0295    99.0200     0.6265    88.3900    15.4290      1.0000
 118     0.1000     0.0300    98.9700     0.6460    88.8500    15.4049      1.0000
 119     0.1000     0.0301    99.0420     0.6292    88.1700    15.3532      1.0000
 120     0.1000     0.0281    99.1380     0.5552    89.1200    15.3664      1.0000
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 121     0.1000     0.0263    99.2160     0.6215    88.7000    15.4110      1.0000
 122     0.1000     0.0295    99.0200     0.6994    87.6300    15.3711      1.0000
 123     0.1000     0.0294    99.0960     0.6232    88.6000    15.3035      1.0000
 124     0.1000     0.0283    99.0780     0.5734    88.6100    15.3841      1.0000
 125     0.1000     0.0287    99.0920     0.6095    88.5300    15.4295      1.0000
 126     0.1000     0.0256    99.1900     0.6134    88.7500    15.3492      1.0000
 127     0.1000     0.0264    99.1500     0.6147    89.1800    15.3351      1.0000
 128     0.1000     0.0234    99.2860     0.6162    88.9900    15.3299      1.0000
 129     0.1000     0.0248    99.2020     0.6134    88.8100    15.3757      1.0000
 130     0.1000     0.0243    99.2360     0.5499    89.2800    15.3781      1.0000
 131     0.1000     0.0234    99.2920     0.5452    89.3700    15.3477      1.0000
 132     0.1000     0.0278    99.1100     0.5626    89.2500    15.3164      1.0000
 133     0.1000     0.0216    99.2700     0.5947    89.4600    15.5159      1.0000
 134     0.1000     0.0274    99.1820     0.5380    89.7000    15.4007      1.0000
 135     0.1000     0.0261    99.2500     0.6479    87.7200    15.3082      1.0000
 136     0.1000     0.0264    99.1640     0.5601    88.9700    15.3177      1.0000
 137     0.1000     0.0239    99.2380     0.6101    89.0000    15.3351      1.0000
 138     0.1000     0.0186    99.3620     0.6361    89.3300    15.3154      1.0000
 139     0.1000     0.0234    99.2520     0.5962    89.1200    15.4065      1.0000
 140     0.1000     0.0222    99.2760     0.6371    88.8400    15.3471      1.0000
 141     0.1000     0.0182    99.4360     0.6426    89.3400    15.5375      1.0000
 142     0.1000     0.0220    99.2980     0.6066    88.1200    15.2789      1.0000
 143     0.1000     0.0236    99.2200     0.5917    89.5100    15.4064      1.0000
 144     0.1000     0.0214    99.3840     0.6449    89.3500    15.4149      1.0000
 145     0.1000     0.0170    99.4660     0.6282    89.7300    15.4931      1.0000
 146     0.1000     0.0232    99.3220     0.5788    89.0400    15.3513      1.0000
 147     0.1000     0.0201    99.3840     0.5958    89.5300    15.4806      1.0000
 148     0.1000     0.0186    99.4100     0.6491    89.5100    15.2903      1.0000
 149     0.1000     0.0203    99.3520     0.5939    88.9700    15.4017      1.0000
 150     0.1000     0.0183    99.4320     0.6910    88.3800    15.3599      1.0000
 151     0.1000     0.0238    99.2980     0.5852    89.1400    15.3173      1.0000
 152     0.1000     0.0210    99.3240     0.6076    89.2300    15.3706      1.0000
 153     0.1000     0.0193    99.4100     0.6170    89.5700    15.3937      1.0000
 154     0.1000     0.0192    99.3740     0.6088    89.1800    15.2710      1.0000
 155     0.1000     0.0203    99.3240     0.5809    89.5600    15.3558      1.0000
 156     0.1000     0.0150    99.4980     0.6108    89.7300    15.3795      1.0000
 157     0.1000     0.0164    99.4460     0.6318    89.3000    15.4323      1.0000
 158     0.1000     0.0182    99.3940     0.6711    89.1400    15.3687      1.0000
 159     0.1000     0.0187    99.3960     0.6361    89.0200    15.4050      1.0000
 160     0.1000     0.0173    99.4620     0.6188    89.2000    15.3647      1.0000
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 161     0.1000     0.0198    99.3820     0.6669    88.5200    15.3437      1.0000
 162     0.1000     0.0204    99.3760     0.6032    89.2200    15.4155      1.0000
 163     0.1000     0.0177    99.4600     0.5997    89.3600    15.4193      1.0000
 164     0.1000     0.0154    99.5340     0.6206    89.3300    15.4476      1.0000
 165     0.1000     0.0228    99.2960     0.5335    89.5100    15.4127      1.0000
 166     0.1000     0.0121    99.6360     0.7163    88.4200    15.4141      1.0000
 167     0.1000     0.0156    99.4880     0.7033    88.6900    15.3777      1.0000
 168     0.1000     0.0191    99.4140     0.6007    89.6600    15.4431      1.0000
 169     0.1000     0.0140    99.5760     0.6271    89.1900    15.3316      1.0000
 170     0.1000     0.0161    99.4840     0.6782    89.3800    15.3218      1.0000
 171     0.1000     0.0162    99.4500     0.6582    88.6500    15.3395      1.0000
 172     0.1000     0.0172    99.4400     0.6355    89.2100    15.3441      1.0000
 173     0.1000     0.0176    99.4360     0.6013    89.2600    15.3559      1.0000
 174     0.1000     0.0147    99.5260     0.6990    89.3900    15.3650      1.0000
 175     0.1000     0.0170    99.4360     0.6332    89.4400    15.3021      1.0000
 176     0.1000     0.0123    99.6260     0.6220    89.4400    15.3665      1.0000
 177     0.1000     0.0307    99.2060     0.6033    89.8100    15.3992      1.0000
 178     0.1000     0.0169    99.4960     0.6077    89.7800    15.3341      1.0000
 179     0.1000     0.0158    99.5220     0.6591    89.7500    15.5135      1.0000
 180     0.1000     0.0168    99.5120     0.6030    89.7200    15.3616      1.0000
 181     0.1000     0.0143    99.5300     0.5649    89.6700    15.3522      1.0000
 182     0.1000     0.0160    99.5280     0.5862    89.6400    15.3093      1.0000
 183     0.1000     0.0154    99.5200     0.6465    89.5500    15.3207      1.0000
 184     0.1000     0.0152    99.5380     0.6070    89.4300    15.4502      1.0000
 185     0.1000     0.0153    99.5520     0.5810    89.1800    15.3871      1.0000
 186     0.1000     0.0166    99.5200     0.6108    89.7500    15.3439      1.0000
 187     0.1000     0.0129    99.5900     0.6294    89.5500    15.1949      1.0000
 188     0.1000     0.0136    99.5820     0.6420    89.3300    15.3660      1.0000
 189     0.1000     0.0140    99.5440     0.5962    89.3900    15.4563      1.0000
 190     0.1000     0.0124    99.5800     0.6859    88.9900    15.3522      1.0000
 191     0.1000     0.0152    99.5860     0.6046    89.6800    15.3673      1.0000
 192     0.1000     0.0138    99.5560     0.6133    89.8400    15.4495      1.0000
 193     0.1000     0.0106    99.6520     0.6159    89.0600    15.3289      1.0000
 194     0.1000     0.0118    99.6500     0.5916    89.7300    15.3462      1.0000
 195     0.1000     0.0116    99.6220     0.6829    88.9600    15.3552      1.0000
 196     0.1000     0.0118    99.6400     0.6588    89.6800    15.3783      1.0000
 197     0.1000     0.0143    99.5400     0.6274    89.1200    15.4015      1.0000
 198     0.1000     0.0137    99.5880     0.6645    89.2000    15.3858      1.0000
 199     0.1000     0.0109    99.6700     0.6378    89.4600    15.3734      1.0000
 200     0.1000     0.0116    99.6140     0.7302    88.7800    15.3962      1.0000
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 201     0.1000     0.0123    99.6460     0.6061    89.8000    15.4555      1.0000
 202     0.1000     0.0150    99.5800     0.5884    89.7300    15.3502      1.0000
 203     0.1000     0.0110    99.6500     0.6348    89.5900    15.5194      1.0000
 204     0.1000     0.0118    99.6460     0.6468    89.5400    15.3419      1.0000
 205     0.1000     0.0140    99.5960     0.6278    90.3200    15.4619      1.0000
 206     0.1000     0.0169    99.5420     0.5638    89.6300    15.4505      1.0000
 207     0.1000     0.0128    99.6080     0.6489    89.7800    15.4282      1.0000
 208     0.1000     0.0124    99.6180     0.6313    89.5500    15.2901      1.0000
 209     0.1000     0.0115    99.6340     0.6957    89.4600    15.3583      1.0000
 210     0.1000     0.0136    99.5520     0.6187    89.4000    15.2423      1.0000
 211     0.1000     0.0107    99.6880     0.6446    89.4600    15.4759      1.0000
 212     0.1000     0.0108    99.6660     0.6540    89.1500    15.3730      1.0000
 213     0.1000     0.0091    99.7280     0.7036    89.6400    15.4325      1.0000
 214     0.1000     0.0123    99.6480     0.6644    88.6000    15.3899      1.0000
 215     0.1000     0.0112    99.6340     0.6433    89.7300    15.3593      1.0000
 216     0.1000     0.0110    99.6700     0.6609    89.2500    15.3228      1.0000
 217     0.1000     0.0123    99.6260     0.6577    89.3500    15.4265      1.0000
 218     0.1000     0.0151    99.5700     0.6626    89.4500    15.4842      1.0000
 219     0.1000     0.0110    99.6580     0.6459    89.8500    15.4346      1.0000
 220     0.1000     0.0128    99.6380     0.5975    89.9100    15.3667      1.0000
 221     0.1000     0.0101    99.6720     0.6544    89.9300    15.4328      1.0000
 222     0.1000     0.0125    99.6400     0.5950    89.7900    15.2995      1.0000
 223     0.1000     0.0093    99.7060     0.7195    89.0600    15.3871      1.0000
 224     0.1000     0.0136    99.5900     0.5782    89.1500    15.3678      1.0000
 225     0.1000     0.0105    99.6940     0.6407    89.7100    15.3507      1.0000
 226     0.1000     0.0070    99.7700     0.7158    89.6900    15.3639      1.0000
 227     0.1000     0.0089    99.7280     0.7032    89.4900    15.2819      1.0000
 228     0.1000     0.0096    99.7200     0.6604    89.0100    15.3588      1.0000
 229     0.1000     0.0098    99.6940     0.7197    89.5200    15.2777      1.0000
 230     0.1000     0.0112    99.6600     0.6669    89.5000    15.3043      1.0000
 231     0.1000     0.0106    99.6760     0.6744    89.3300    15.3673      1.0000
 232     0.1000     0.0090    99.7340     0.7294    88.6000    15.3791      1.0000
 233     0.1000     0.0106    99.6700     0.6355    89.2900    15.2857      1.0000
 234     0.1000     0.0097    99.6920     0.6650    89.3500    15.3905      1.0000
 235     0.1000     0.0102    99.7160     0.6695    89.1300    15.3432      1.0000
 236     0.1000     0.0112    99.6780     0.6323    89.6000    15.3879      1.0000
 237     0.1000     0.0115    99.6500     0.6657    89.5800    15.3441      1.0000
 238     0.1000     0.0085    99.7600     0.6687    89.0700    15.3561      1.0000
 239     0.1000     0.0117    99.6680     0.7110    89.1200    15.3722      1.0000
 240     0.1000     0.0105    99.6520     0.7011    89.1300    15.5968      1.0000
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 241     0.1000     0.0091    99.7000     0.6838    89.1900    15.3608      1.0000
 242     0.1000     0.0096    99.7100     0.6226    89.1700    15.3898      1.0000
 243     0.1000     0.0081    99.7480     0.6634    89.5800    15.4069      1.0000
 244     0.1000     0.0070    99.7720     0.6954    89.5400    15.2670      1.0000
 245     0.1000     0.0085    99.7460     0.7093    89.6300    15.3809      1.0000
 246     0.1000     0.0085    99.7320     0.7109    89.7800    15.3814      1.0000
 247     0.1000     0.0097    99.7120     0.6771    89.7800    15.3245      1.0000
 248     0.1000     0.0093    99.7280     0.7066    89.8200    15.3559      1.0000
 249     0.1000     0.0097    99.6960     0.6129    89.6600    15.3035      1.0000
 250     0.1000     0.0106    99.7080     0.6377    89.1800    15.3604      1.0000
 251     0.1000     0.0083    99.7520     0.7127    89.5500    15.4148      1.0000
 252     0.1000     0.0091    99.6920     0.6835    89.0100    15.4110      1.0000
 253     0.1000     0.0099    99.7060     0.6509    89.8300    15.3746      1.0000
 254     0.1000     0.0089    99.7180     0.7816    88.6100    15.3396      1.0000
 255     0.1000     0.0087    99.7480     0.6550    89.8100    15.4583      1.0000
 256     0.1000     0.0073    99.7660     0.6923    89.6900    15.2761      1.0000
 257     0.1000     0.0065    99.7880     0.6869    89.7100    15.3786      1.0000
 258     0.1000     0.0076    99.7340     0.7587    89.8500    15.3865      1.0000
 259     0.1000     0.0123    99.6420     0.6621    89.8200    15.3694      1.0000
 260     0.1000     0.0079    99.7520     0.6743    89.8700    15.3820      1.0000
 261     0.1000     0.0101    99.7100     0.7597    88.4400    15.4057      1.0000
 262     0.1000     0.0106    99.6720     0.7092    89.5000    15.3972      1.0000
 263     0.1000     0.0093    99.7180     0.6894    89.3600    15.4208      1.0000
 264     0.1000     0.0078    99.7640     1.0743    86.7100    15.4306      1.0000
 265     0.1000     0.0106    99.6940     0.6983    89.3700    15.4279      1.0000
 266     0.1000     0.0072    99.7900     0.6455    89.9200    15.2959      1.0000
 267     0.1000     0.0099    99.7280     0.6317    89.5800    15.3993      1.0000
 268     0.1000     0.0085    99.7500     0.6368    89.7100    15.3817      1.0000
 269     0.1000     0.0059    99.8160     0.6999    90.2600    15.2928      1.0000
 270     0.1000     0.0085    99.7400     0.6425    89.5000    15.3785      1.0000
 271     0.1000     0.0082    99.7180     0.6818    89.8000    15.3673      1.0000
 272     0.1000     0.0092    99.7220     0.6556    89.5600    15.5741      1.0000
 273     0.1000     0.0102    99.6940     0.6952    89.8400    15.3858      1.0000
 274     0.1000     0.0070    99.7660     0.7184    89.9800    15.3725      1.0000
 275     0.1000     0.0095    99.7200     0.6699    89.5700    15.5115      1.0000
 276     0.1000     0.0074    99.7800     0.7333    89.6100    15.3994      1.0000
 277     0.1000     0.0067    99.8000     0.7130    89.9500    15.3081      1.0000
 278     0.1000     0.0126    99.6240     0.6912    89.6400    15.3589      1.0000
 279     0.1000     0.0080    99.7880     0.6781    90.0100    15.4254      1.0000
 280     0.1000     0.0068    99.7880     0.6982    89.7200    15.2641      1.0000
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 281     0.1000     0.0070    99.7700     0.6919    90.1000    15.4369      1.0000
 282     0.1000     0.0075    99.7680     0.6870    89.7400    15.3845      1.0000
 283     0.1000     0.0070    99.7880     0.7063    89.2300    15.3425      1.0000
 284     0.1000     0.0080    99.7500     0.6914    89.4300    15.2783      1.0000
 285     0.1000     0.0065    99.7900     0.7229    89.9200    15.4181      1.0000
 286     0.1000     0.0081    99.7240     0.7073    89.8100    15.3212      1.0000
 287     0.1000     0.0065    99.7740     0.7484    89.8700    15.4747      1.0000
 288     0.1000     0.0082    99.7520     0.6247    89.8700    15.4049      1.0000
 289     0.1000     0.0066    99.7820     0.7079    89.6900    15.5021      1.0000
 290     0.1000     0.0069    99.8160     0.7528    89.9500    15.4725      1.0000
 291     0.1000     0.0064    99.7780     0.7387    89.6200    15.4093      1.0000
 292     0.1000     0.0085    99.7500     0.6604    89.6900    15.3902      1.0000
 293     0.1000     0.0085    99.7260     0.7171    89.6800    15.2627      1.0000
 294     0.1000     0.0057    99.7860     0.7065    90.0200    15.3534      1.0000
 295     0.1000     0.0056    99.8200     0.7230    90.1000    15.3115      1.0000
 296     0.1000     0.0055    99.8240     0.7215    90.1100    15.3332      1.0000
 297     0.1000     0.0088    99.7320     0.6036    89.6000    15.3498      1.0000
 298     0.1000     0.0077    99.7640     0.7026    89.7300    15.3757      1.0000
 299     0.1000     0.0063    99.8100     0.6905    89.4600    15.4220      1.0000
 300     0.1000     0.0069    99.8000     0.6796    89.8600    15.4064      1.0000
