Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.0522    21.5420     2.0503    21.9300    16.0870      1.0000
   2     0.1000     2.0187    20.9480     1.9973    21.0500    15.7247      1.0000
   3     0.1000     1.8417    29.2060     1.8050    29.6300    15.6251      1.0000
   4     0.1000     1.6125    37.7280     1.5845    38.6300    15.6782      1.0000
   5     0.1000     1.5044    43.8220     1.5026    43.3600    15.7748      1.0000
   6     0.1000     1.3520    49.9320     1.3384    49.6200    15.8644      1.0000
   7     0.1000     1.2681    54.9500     1.2356    55.8400    15.7308      1.0000
   8     0.1000     1.2392    55.0940     1.1992    57.0200    15.8815      1.0000
   9     0.1000     0.9603    65.8020     0.9632    65.9500    16.5565      1.0000
  10     0.1000     0.8492    70.0340     0.8698    70.1900    15.7434      1.0000
  11     0.1000     0.8856    69.6820     0.8787    70.0000    15.7353      1.0000
  12     0.1000     0.7185    75.1080     0.7486    74.3100    15.9430      1.0000
  13     0.1000     0.7135    75.3900     0.7269    75.3300    17.2063      1.0000
  14     0.1000     0.6177    78.7980     0.6588    78.1100    15.8525      1.0000
  15     0.1000     0.5992    79.4300     0.6658    78.3500    15.8578      1.0000
  16     0.1000     0.5513    81.2280     0.6248    79.4700    15.6643      1.0000
