Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2834    11.8220     2.1721    17.3500    10.9236      0.9252
   2     0.1000     2.2685    12.4460     2.3027    10.0000    10.1700      0.8789
   3     0.1000     2.3025    10.4520     2.3021    12.1700    10.0173      0.8397
   4     0.1000     2.2252    14.4260     2.0939    20.7000    10.1021      0.8047
   5     0.1000     2.0252    19.9780     1.8868    25.9500    10.0584      0.7726
   6     0.1000     1.9163    24.0980     1.8862    26.0400    10.1580      0.7430
   7     0.1000     1.8448    27.6860     1.8185    30.2100    10.0720      0.7151
   8     0.1000     1.7752    30.6480     1.6766    35.4400    10.1032      0.6888
   9     0.1000     1.6943    33.5720     1.6134    36.2900     9.9656      0.6639
  10     0.1000     1.6460    36.0560     1.6173    35.8800    10.2582      0.6402
  11     0.1000     1.5854    38.3640     1.5131    41.6800     9.9839      0.6178
  12     0.1000     1.5296    41.2980     1.4577    45.2300    10.1493      0.5964
  13     0.1000     1.4545    45.2280     1.3989    48.3800    10.1510      0.5759
  14     0.1000     1.3832    48.7720     1.3743    49.9900    10.1019      0.5564
  15     0.1000     1.3031    53.0180     1.2073    56.8100    10.0305      0.5377
