Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.3458    10.0040     2.3432    10.0300    15.8472      1.0000
   2     0.1000     1.9475    23.9520     1.8699    26.0200    15.5580      1.0000
   3     0.1000     1.7327    34.1720     1.6971    35.4800    16.2725      1.0000
   4     0.1000     1.6438    40.3580     1.6065    40.9000    15.5731      1.0000
   5     0.1000     1.5186    44.3800     1.4496    46.3400    15.7112      1.0000
   6     0.1000     1.3757    50.7020     1.3799    50.0100    15.6440      1.0000
   7     0.1000     1.1205    59.5960     1.0966    60.7100    15.6566      1.0000
   8     0.1000     0.9667    65.9020     0.9822    65.6300    15.6648      1.0000
   9     0.1000     0.8965    68.4100     0.8995    68.3200    15.7661      1.0000
  10     0.1000     0.8581    69.5420     0.8827    69.5900    16.2217      1.0000
  11     0.1000     0.7664    73.8700     0.7724    73.8200    15.6265      1.0000
  12     0.1000     0.7192    75.2360     0.7649    74.1000    15.6735      1.0000
  13     0.1000     0.6265    78.3660     0.6804    76.9000    15.5574      1.0000
  14     0.1000     0.5944    79.7540     0.6387    78.3100    16.2835      1.0000
  15     0.1000     0.5480    81.2980     0.6212    79.6800    15.6103      1.0000
  16     0.1000     0.6032    79.9920     0.6617    78.8100    15.5964      1.0000
