Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.3216    10.0000     2.3213    10.0000    16.2518      1.0000
   2     0.1000     2.0054    22.9680     1.9746    25.1500    15.5662      1.0000
   3     0.1000     1.8027    29.1920     1.7469    30.6800    15.6713      1.0000
   4     0.1000     1.6819    33.3760     1.6701    33.2100    16.6875      1.0000
   5     0.1000     1.5653    42.0360     1.5129    43.4900    15.7305      1.0000
   6     0.1000     1.3310    50.6540     1.3288    50.4300    15.9166      1.0000
   7     0.1000     1.2168    56.4380     1.1974    56.6300    15.6809      1.0000
   8     0.1000     1.1551    58.0040     1.1418    58.1700    17.3368      1.0000
   9     0.1000     0.9637    65.5120     0.9608    65.8300    15.5928      1.0000
  10     0.1000     0.9293    66.7360     0.9401    67.6100    15.6792      1.0000
  11     0.1000     0.9171    68.2380     0.9134    68.5600    15.7155      1.0000
  12     0.1000     0.7895    72.7920     0.7903    73.5000    17.2854      1.0000
  13     0.1000     0.6817    76.5220     0.7215    75.4400    15.6026      1.0000
  14     0.1000     0.7187    75.7480     0.7721    74.6300    15.7315      1.0000
  15     0.1000     0.7573    74.1360     0.8061    73.0200    15.9100      1.0000
  16     0.1000     0.5484    81.4020     0.6090    79.5300    15.7670      1.0000
