Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2142    15.6040     2.1729    18.8100    11.1740      1.0000
   2     0.1000     2.0339    21.3460     1.9946    23.9900    10.3614      1.0000
   3     0.1000     1.8564    28.3600     1.8422    30.1600    10.4221      1.0000
   4     0.1000     1.6830    36.4020     1.4944    43.6200    10.3663      1.0000
   5     0.1000     1.5492    42.6340     1.4557    46.3400    10.3637      1.0000
   6     0.1000     1.4153    48.5620     1.1886    57.4100    10.1882      1.0000
   7     0.1000     1.2624    54.9460     1.2362    58.0200    10.2583      1.0000
   8     0.1000     1.1525    59.2980     1.4339    49.0400    10.4914      1.0000
   9     0.1000     1.0137    64.6560     0.8724    69.7500    10.4638      1.0000
  10     0.1000     0.9235    67.9680     0.8637    70.6600    10.1362      1.0000
  11     0.1000     0.8531    70.6080     0.8141    71.9500    10.2577      1.0000
  12     0.1000     0.7809    73.3460     0.7825    73.6800    10.1387      1.0000
  13     0.1000     0.7293    75.4560     0.7464    74.4100    10.2982      1.0000
  14     0.1000     0.6820    76.8480     0.6561    77.0000    10.4461      1.0000
  15     0.1000     0.6301    78.7800     0.9070    71.2400    10.2869      1.0000
