Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.3382    10.0420     2.3340    10.0900    15.4848      0.9481
   2     0.1000     2.0106    21.0460     1.9966    21.8100    13.2256      0.9215
   3     0.1000     1.7864    29.7460     1.7414    30.2700    13.2908      0.9001
   4     0.1000     1.6361    36.0320     1.6036    37.0500    13.3061      0.8816
   5     0.1000     1.5098    42.9640     1.4712    43.5500    13.1458      0.8649
   6     0.1000     1.4027    47.3700     1.3810    47.0500    13.1887      0.8497
   7     0.1000     1.2956    53.4980     1.2755    53.6100    13.1130      0.8356
   8     0.1000     1.1476    58.8960     1.1269    58.9100    13.1848      0.8224
   9     0.1000     0.9901    64.7560     1.0197    63.9800    13.3609      0.8099
  10     0.1000     0.9262    67.2680     0.9606    66.6200    13.2086      0.7981
  11     0.1000     0.8284    71.1280     0.8319    71.0700    13.2310      0.7868
  12     0.1000     0.7600    73.4280     0.8158    72.2500    13.3528      0.7760
  13     0.1000     0.7334    74.3060     0.7871    73.4100    13.3447      0.7656
  14     0.1000     0.6481    77.4200     0.6900    77.0600    13.1759      0.7557
  15     0.1000     0.7625    74.2580     0.8114    73.3800    13.2789      0.7461
  16     0.1000     0.6018    79.5920     0.6566    78.6200    13.2252      0.7368
