Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2074    15.5500     2.0288    22.2000    11.0681      1.0000
   2     0.1000     2.0197    21.1920     1.8694    27.0100    10.2383      1.0000
   3     0.1000     1.8465    28.3320     1.8924    28.4600    10.2479      1.0000
   4     0.1000     1.6822    35.7260     1.5174    41.1800    10.3068      1.0000
   5     0.1000     1.5683    41.0720     1.5246    43.1700    10.2119      1.0000
   6     0.1000     1.4426    47.1860     1.6281    39.4400    10.1149      1.0000
   7     0.1000     1.3006    53.5480     1.2141    57.9200    10.0835      1.0000
   8     0.1000     1.1511    59.3620     1.3499    53.7100    10.2385      1.0000
   9     0.1000     1.0292    64.0120     0.8837    69.2800    10.2104      1.0000
  10     0.1000     0.9327    67.6080     0.8805    69.5600    10.2684      1.0000
  11     0.1000     0.8580    70.4060     0.7535    74.4500    10.2146      1.0000
  12     0.1000     0.7935    72.7080     0.8759    70.8500    10.1984      1.0000
  13     0.1000     0.7312    75.1700     0.7438    74.4300    10.2494      1.0000
  14     0.1000     0.6821    76.8260     0.7029    76.2000    10.2921      1.0000
  15     0.1000     0.6332    78.5340     0.7309    75.2600    10.2765      1.0000
