Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  68     0.1000     0.1254    95.9260     0.5456    86.8300    13.4995      0.1298
  69     0.1000     0.1489    95.2480     0.5825    85.8600    13.4779      0.1272
  70     0.1000     0.1034    96.7040     0.5387    87.0900    13.6688      0.1247
  71     0.1000     0.1186    95.9940     0.5250    87.4200    13.4246      0.1222
  72     0.1000     0.0949    96.9040     0.5452    87.1900    13.7362      0.1199
  73     0.1000     0.1859    94.0720     0.5618    85.4500    13.5010      0.1176
  74     0.1000     0.1702    94.8680     0.6126    86.2400    13.4197      0.1155
  75     0.1000     0.1055    96.4980     0.5265    87.3500    13.6233      0.1134
  76     0.1000     0.1806    94.6960     0.6356    85.3500    13.5490      0.1113
  77     0.1000     0.0901    97.0380     0.5512    87.4400    13.6192      0.1093
  78     0.1000     0.0900    97.0040     0.5502    87.0000    13.6788      0.1073
  79     0.1000     0.1064    96.5440     0.5737    86.8000    13.5990      0.1055
  80     0.1000     0.0833    97.2940     0.5489    87.5400    13.5179      0.1036
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  81     0.1000     0.0912    96.9480     0.5631    87.5000    13.5934      0.1019
  82     0.1000     0.0931    96.8340     0.5670    87.5000    13.6283      0.1002
