Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2361    16.4520     2.2313    16.8200    14.0235      0.9252
   2     0.1000     1.9687    21.6320     1.9584    22.7700    13.2881      0.8789
   3     0.1000     1.9199    23.4240     1.8994    24.4600    13.2660      0.8398
   4     0.1000     1.8661    26.9940     1.8321    28.0400    13.2265      0.8049
   5     0.1000     1.7450    31.6300     1.6969    32.4500    13.3251      0.7729
   6     0.1000     1.6633    33.6180     1.6202    35.6200    13.2833      0.7433
   7     0.1000     1.5876    37.7980     1.5553    38.6400    13.2198      0.7156
   8     0.1000     1.4606    44.3740     1.4449    44.6800    13.4839      0.6895
   9     0.1000     1.3674    49.7620     1.3700    49.4100    13.4066      0.6647
  10     0.1000     1.2540    52.9660     1.2505    52.8700    13.4506      0.6414
  11     0.1000     1.1500    57.5420     1.1416    57.7200    13.2752      0.6192
  12     0.1000     1.0975    60.0380     1.1242    59.6200    13.3321      0.5982
  13     0.1000     0.9792    65.1980     0.9905    65.0600    13.2040      0.5780
  14     0.1000     0.9091    67.3160     0.9211    66.8500    13.2508      0.5587
  15     0.1000     0.9739    65.3480     1.0048    65.0300    13.2179      0.5403
  16     0.1000     0.8065    72.0780     0.8132    72.0200    13.2803      0.5227
