Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.0410    22.3960     2.0314    23.0800    15.1270      0.9481
   2     0.1000     1.9338    25.7740     1.9134    26.3100    13.2707      0.9215
   3     0.1000     1.7832    31.6660     1.7460    33.1800    13.3487      0.9001
   4     0.1000     1.6276    36.4720     1.5875    37.8300    13.2860      0.8816
   5     0.1000     1.5212    42.4860     1.4991    42.2700    13.2066      0.8649
   6     0.1000     1.3846    47.2700     1.3589    47.9200    13.3519      0.8497
   7     0.1000     1.2168    56.2560     1.2035    56.2100    13.1133      0.8355
   8     0.1000     1.1681    58.2640     1.1325    59.0000    13.3435      0.8223
   9     0.1000     0.9749    65.4800     0.9832    65.4200    13.2187      0.8098
  10     0.1000     0.9131    67.7380     0.9131    67.8500    13.1330      0.7980
  11     0.1000     0.8734    69.2680     0.8783    69.4700    13.5290      0.7867
  12     0.1000     0.7452    74.3660     0.7645    74.2000    13.5241      0.7759
  13     0.1000     0.7068    75.6420     0.7401    75.0300    13.1060      0.7656
  14     0.1000     0.6453    77.8780     0.6754    77.2900    13.1449      0.7557
  15     0.1000     0.6537    77.6140     0.7100    76.1700    13.4410      0.7461
  16     0.1000     0.5714    80.8300     0.6286    79.2400    13.2688      0.7368
