Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2217    14.8580     2.0807    21.4200    16.9925      0.9481
   2     0.1000     2.0823    19.7100     1.8786    26.1700    15.4703      0.9215
   3     0.1000     1.9301    25.0840     2.3372    15.6500    15.2937      0.9001
   4     0.1000     1.7983    30.1920     1.6387    36.5000    15.6410      0.8815
   5     0.1000     1.7005    35.4100     1.7626    33.6800    15.5167      0.8648
   6     0.1000     1.5535    41.9420     1.7768    32.1300    15.4182      0.8496
   7     0.1000     1.4412    47.1840     1.3037    53.2500    15.4810      0.8355
   8     0.1000     1.3117    52.7920     1.1454    59.1400    15.5644      0.8222
   9     0.1000     1.1807    58.1520     1.0487    62.1800    15.3394      0.8097
  10     0.1000     1.0566    62.6460     0.9809    65.1600    15.3233      0.7979
  11     0.1000     0.9703    66.1440     0.8669    69.5400    15.3480      0.7866
  12     0.1000     0.8818    69.6240     0.8079    72.4100    15.3959      0.7758
  13     0.1000     0.8193    72.0400     0.7369    74.7800    15.3244      0.7654
  14     0.1000     0.7554    74.2360     0.7111    75.5400    15.2432      0.7554
  15     0.1000     0.7090    76.0480     0.7786    73.9800    15.3977      0.7458
