Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.0413    22.4220     2.0308    22.7300    15.7360      0.9627
   2     0.1000     1.9076    26.5980     1.8985    26.7400    13.1550      0.9469
   3     0.1000     1.7521    32.1000     1.7237    32.7200    13.2977      0.9348
   4     0.1000     1.5883    38.9640     1.5633    39.6000    13.2974      0.9247
   5     0.1000     1.5127    43.3760     1.4774    43.5500    13.1858      0.9157
   6     0.1000     1.3821    48.5480     1.3568    48.8500    13.3294      0.9076
   7     0.1000     1.1889    57.3840     1.1705    57.6700    13.0914      0.9002
   8     0.1000     1.0478    62.5360     1.0271    63.5600    13.1206      0.8934
   9     0.1000     1.0266    63.5840     1.0340    63.4600    13.3045      0.8870
  10     0.1000     1.0039    64.6400     1.0568    63.5900    13.0701      0.8811
  11     0.1000     0.8427    70.6480     0.8391    71.3800    13.2013      0.8754
  12     0.1000     0.7502    73.8180     0.7913    73.2200    13.2374      0.8700
  13     0.1000     0.6969    76.3400     0.7638    74.9800    13.0814      0.8648
  14     0.1000     0.6932    76.1600     0.7438    75.6000    13.1552      0.8598
  15     0.1000     0.6870    76.1180     0.7379    75.0300    13.1978      0.8550
  16     0.1000     0.5452    81.3720     0.6180    79.7700    13.2273      0.8504
