Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  67     0.1000     0.0848    97.2080     0.4960    88.1500   119.3364      0.4562
  68     0.1000     0.0866    97.1180     0.4667    88.7900   119.3499      0.4526
  69     0.1000     0.0854    97.1280     0.5060    88.1700   119.3358      0.4492
  70     0.1000     0.0854    97.2500     0.4813    88.2400   119.3440      0.4457
  71     0.1000     0.0802    97.3640     0.5288    88.2900   119.3794      0.4423
  72     0.1000     0.0796    97.3340     0.6462    86.2700   119.3360      0.4390
  73     0.1000     0.0744    97.6020     0.5573    87.9500   119.3002      0.4356
  74     0.1000     0.0736    97.5940     0.5162    87.9100   119.3063      0.4324
  75     0.1000     0.0723    97.6760     0.5265    88.3400   119.3118      0.4291
  76     0.1000     0.0758    97.4960     0.5136    87.7300   119.3241      0.4260
  77     0.1000     0.0674    97.8080     0.5606    87.8600   119.3118      0.4228
  78     0.1000     0.0705    97.6940     0.5926    87.0300   119.3002      0.4196
  79     0.1000     0.0683    97.7800     0.5548    87.2300   119.3361      0.4165
  80     0.1000     0.0656    97.8600     0.5042    88.9900   119.3596      0.4135
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  81     0.1000     0.0640    97.8680     0.5804    87.7100   119.3767      0.4106
  82     0.1000     0.0606    98.0140     0.5657    88.0700   119.3598      0.4075
  83     0.1000     0.0592    97.9940     0.5744    87.8800   119.3398      0.4046
  84     0.1000     0.0708    97.8020     0.4947    88.1400   119.2950      0.4017
  85     0.1000     0.0547    98.2380     0.5875    88.4000   119.3225      0.3988
  86     0.1000     0.0503    98.4000     0.5565    88.6600   119.3001      0.3959
  87     0.1000     0.0520    98.3020     0.5698    87.7500   119.3848      0.3930
  88     0.1000     0.0585    98.1580     0.5316    88.4100   119.3581      0.3902
  89     0.1000     0.0489    98.4020     0.5812    88.1800   119.3908      0.3875
  90     0.1000     0.0540    98.1860     0.5181    88.6900   119.2988      0.3848
  91     0.1000     0.0478    98.3640     0.5277    88.6700   119.3110      0.3821
  92     0.1000     0.0521    98.2520     0.6105    87.2300   119.3005      0.3794
  93     0.1000     0.0492    98.3820     0.5207    88.6400   119.2962      0.3768
  94     0.1000     0.0447    98.5680     0.5734    88.7900   119.3196      0.3742
  95     0.1000     0.0468    98.4660     0.5328    88.6600   119.3170      0.3716
  96     0.1000     0.0429    98.6060     0.6007    88.5200   119.3291      0.3691
  97     0.1000     0.0444    98.5600     0.5469    88.4300   119.3805      0.3665
  98     0.1000     0.0452    98.5860     0.5081    89.1700   119.4469      0.3640
  99     0.1000     0.0388    98.7460     0.5419    88.8300   119.3380      0.3615
 100     0.1000     0.0424    98.6140     0.5768    88.1900   119.3326      0.3590
 101     0.1000     0.0407    98.6780     0.5731    88.7800   119.3743      0.3566
 102     0.1000     0.0391    98.7980     0.5681    88.5600   119.3542      0.3541
 103     0.1000     0.0426    98.6620     0.5503    88.6800   119.3625      0.3517
 104     0.1000     0.0421    98.6580     0.5369    88.4400   119.3491      0.3493
 105     0.1000     0.0362    98.8580     0.5538    89.0400   119.3519      0.3470
 106     0.1000     0.0368    98.8300     0.5514    88.0700   119.3413      0.3446
 107     0.1000     0.0377    98.8000     0.5660    88.3300   119.3341      0.3424
 108     0.1000     0.0375    98.8280     0.5669    88.9600   119.3284      0.3401
 109     0.1000     0.0365    98.8540     0.5330    89.1800   119.3383      0.3379
 110     0.1000     0.0366    98.8760     0.5699    88.9800   119.3364      0.3357
 111     0.1000     0.0327    98.9440     0.6628    87.5800   119.3596      0.3335
 112     0.1000     0.0334    98.8500     0.5706    88.3800   119.3340      0.3313
 113     0.1000     0.0316    98.9120     0.5625    89.3300   119.3517      0.3291
 114     0.1000     0.0311    98.9980     0.5714    88.7300   119.3509      0.3270
 115     0.1000     0.0357    98.8460     0.5773    88.7200   119.3527      0.3249
 116     0.1000     0.0315    98.9300     0.5847    88.7200   119.2942      0.3228
 117     0.1000     0.0288    99.0600     0.5660    89.0500   119.3739      0.3207
 118     0.1000     0.0320    98.9420     0.5477    88.9500   119.3599      0.3187
 119     0.1000     0.0306    99.0500     0.5909    88.9500   119.2770      0.3166
 120     0.1000     0.0285    99.0860     0.5697    88.6200   119.3068      0.3146
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 121     0.1000     0.0247    99.2300     0.5837    88.6200   119.3269      0.3126
 122     0.1000     0.0284    99.1100     0.5670    89.0200   119.3173      0.3106
 123     0.1000     0.0274    99.1320     0.5942    88.8700   119.3172      0.3086
 124     0.1000     0.0281    99.0540     0.6114    88.4400   119.3023      0.3067
 125     0.1000     0.0281    99.1020     0.6052    88.8800   119.3157      0.3047
 126     0.1000     0.0274    99.1200     0.5559    89.1000   119.2859      0.3028
 127     0.1000     0.0258    99.2200     0.6732    87.8800   119.2948      0.3010
 128     0.1000     0.0255    99.1700     0.5820    88.8300   119.3292      0.2991
 129     0.1000     0.0207    99.3340     0.5721    88.9400   119.2868      0.2972
 130     0.1000     0.0259    99.1940     0.6233    88.5600   119.3934      0.2954
 131     0.1000     0.0261    99.1960     0.6219    88.5800   119.3050      0.2936
 132     0.1000     0.0283    99.0640     0.5923    88.9600   119.3046      0.2918
 133     0.1000     0.0268    99.1160     0.6669    88.5700   119.2805      0.2900
 134     0.1000     0.0237    99.2300     0.6068    89.0900   119.3097      0.2883
 135     0.1000     0.0268    99.1580     0.5861    88.5500   119.3019      0.2866
 136     0.1000     0.0254    99.1760     0.5893    89.3100   119.2838      0.2849
 137     0.1000     0.0250    99.1840     0.5997    88.9300   119.3448      0.2831
 138     0.1000     0.0215    99.2940     0.6400    87.6200   119.3381      0.2815
 139     0.1000     0.0257    99.1340     0.6124    89.1800   119.4204      0.2798
 140     0.1000     0.0235    99.2600     0.5884    88.8600   119.3833      0.2781
 141     0.1000     0.0216    99.3120     0.5787    89.5400   119.3447      0.2765
 142     0.1000     0.0234    99.2840     0.6654    88.6100   119.2835      0.2748
 143     0.1000     0.0232    99.2480     0.5869    89.2900   119.3130      0.2732
 144     0.1000     0.0233    99.2720     0.5816    88.6900   119.2845      0.2716
 145     0.1000     0.0244    99.2140     0.6031    88.8900   119.2766      0.2701
 146     0.1000     0.0192    99.3580     0.5817    89.2200   119.3708      0.2685
 147     0.1000     0.0219    99.2820     0.6097    88.6900   119.3064      0.2670
 148     0.1000     0.0237    99.2780     0.5647    89.0500   119.2785      0.2654
 149     0.1000     0.0189    99.4260     0.6251    88.9200   119.3369      0.2638
 150     0.1000     0.0204    99.3320     0.5591    89.2200   119.2692      0.2623
 151     0.1000     0.0254    99.1980     0.5945    88.8900   119.3528      0.2608
 152     0.1000     0.0222    99.2800     0.6008    88.9600   119.3041      0.2593
 153     0.1000     0.0204    99.3380     0.6244    88.7600   119.3000      0.2579
 154     0.1000     0.0219    99.3160     0.6026    89.1000   119.3025      0.2564
 155     0.1000     0.0211    99.3620     0.6369    88.6200   119.2933      0.2550
 156     0.1000     0.0177    99.4200     0.6741    88.5700   119.3016      0.2535
 157     0.1000     0.0168    99.4720     0.6691    88.1600   119.3110      0.2521
 158     0.1000     0.0184    99.3960     0.6527    88.8500   119.3325      0.2507
 159     0.1000     0.0185    99.4200     0.6589    88.4200   119.3234      0.2492
 160     0.1000     0.0179    99.4240     0.6197    89.1100   119.2999      0.2478
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
 161     0.1000     0.0222    99.3040     0.6652    87.8000   119.3713      0.2465
 162     0.1000     0.0198    99.3800     0.6117    89.3700   119.2890      0.2452
 163     0.1000     0.0234    99.2980     0.5544    89.1100   119.2920      0.2438
 164     0.1000     0.0178    99.4180     0.6579    89.0700   119.3565      0.2425
 165     0.1000     0.0176    99.4720     0.5754    89.1900   119.3974      0.2411
 166     0.1000     0.0188    99.4120     0.6387    88.9600   119.2920      0.2398
 167     0.1000     0.0169    99.4780     0.6242    88.9100   119.3371      0.2385
 168     0.1000     0.0173    99.4480     0.6086    89.3600   119.3209      0.2372
 169     0.1000     0.0175    99.4640     0.6149    89.2400   119.2965      0.2359
 170     0.1000     0.0179    99.4200     0.6256    88.8100   119.3152      0.2347
 171     0.1000     0.0202    99.3440     0.6020    89.4700   119.3059      0.2335
 172     0.1000     0.0170    99.5060     0.5899    89.5200   119.2627      0.2322
 173     0.1000     0.0161    99.4940     0.6198    89.0300   119.3178      0.2310
 174     0.1000     0.0153    99.4820     0.6171    89.2200   119.2927      0.2297
 175     0.1000     0.0170    99.4500     0.6055    89.2000   119.3007      0.2285
 176     0.1000     0.0186    99.4140     0.5937    89.1600   119.2944      0.2273
 177     0.1000     0.0192    99.3800     0.5931    89.1100   119.2861      0.2261
 178     0.1000     0.0174    99.4680     0.5735    89.4100   119.2830      0.2250
 179     0.1000     0.0171    99.4800     0.6105    89.3300   119.2866      0.2238
