Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2544    13.3720     2.1253    18.0400    10.9766      0.9627
   2     0.1000     2.0859    19.2780     1.9125    25.1100    10.2184      0.9469
   3     0.1000     1.9499    23.5260     1.8981    26.4100    10.2138      0.9349
   4     0.1000     1.8286    28.3880     1.6627    33.0000    10.1442      0.9246
   5     0.1000     1.6918    35.2980     1.7703    31.7500    10.1044      0.9157
   6     0.1000     1.5645    40.6800     1.7961    33.2700    10.1204      0.9076
   7     0.1000     1.4519    46.3600     1.3156    52.3400    10.1477      0.9002
   8     0.1000     1.3250    52.2460     1.2141    56.7200    10.1128      0.8933
   9     0.1000     1.1757    58.3280     1.0107    64.1200    10.2317      0.8869
  10     0.1000     1.0596    62.6240     0.9899    64.8400    10.1929      0.8809
  11     0.1000     0.9604    66.4500     0.8676    69.9300    10.2434      0.8752
  12     0.1000     0.8784    69.7900     0.8640    71.0400    10.1922      0.8697
  13     0.1000     0.8139    72.3120     0.7902    72.9700    10.3121      0.8645
  14     0.1000     0.7506    74.3780     0.8189    70.8400    10.1822      0.8595
  15     0.1000     0.7015    76.2720     0.7575    74.8300    10.1934      0.8548
