Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2116    15.2560     2.0843    17.9700    10.9903      0.9481
   2     0.1000     2.0402    20.9980     1.9266    24.3000    10.0635      0.9215
   3     0.1000     1.9387    24.3360     2.3799    14.6900     9.8799      0.9001
   4     0.1000     1.8206    28.5100     1.6456    36.0900    10.0436      0.8815
   5     0.1000     1.7400    33.2460     1.6394    37.0500    10.0434      0.8648
   6     0.1000     1.5713    40.3400     1.8216    32.8900    10.0976      0.8496
   7     0.1000     1.4747    45.2860     1.5208    43.9100    10.1202      0.8354
   8     0.1000     1.3558    50.9000     1.2399    55.7400    10.1947      0.8222
   9     0.1000     1.2130    56.8340     1.0725    61.7100    10.2290      0.8097
  10     0.1000     1.0879    61.5920     1.0048    64.5600    10.1186      0.7978
  11     0.1000     0.9952    65.1020     0.8604    70.3300    10.0824      0.7866
  12     0.1000     0.8984    68.8420     0.9113    68.7900    10.1426      0.7757
  13     0.1000     0.8376    71.3440     1.0291    65.0800    10.1415      0.7654
  14     0.1000     0.7714    73.8820     0.7500    73.6200    10.1451      0.7554
  15     0.1000     0.7176    75.7540     0.8685    70.5300    10.1919      0.7458
