Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2855    11.7820     2.1833    16.8500    11.0973      0.9751
   2     0.1000     2.1672    18.3240     2.0530    22.6500    10.0532      0.9671
   3     0.1000     1.9824    24.1860     1.8937    27.5500    10.2308      0.9614
   4     0.1000     1.8468    29.2600     1.6567    37.3300    10.2956      0.9567
   5     0.1000     1.6982    35.6560     1.7626    35.3400    10.1723      0.9528
   6     0.1000     1.5463    42.3640     1.3705    49.6100    10.1154      0.9493
   7     0.1000     1.4287    48.0760     1.2236    55.2400    10.1405      0.9461
   8     0.1000     1.2963    53.5900     1.2159    57.1600    10.1676      0.9432
   9     0.1000     1.1708    58.8400     1.0110    64.7700    10.1901      0.9406
  10     0.1000     1.0593    62.7660     1.0671    62.7000    10.2115      0.9381
  11     0.1000     0.9726    66.2820     0.9349    67.0400    10.2086      0.9357
  12     0.1000     0.8901    69.1640     0.8306    71.5100    10.2132      0.9335
  13     0.1000     0.8114    72.3220     1.0071    66.9300    10.1303      0.9315
  14     0.1000     0.7611    74.1220     0.7913    72.9600    10.1054      0.9295
  15     0.1000     0.7033    76.1060     0.8398    72.3600    10.1748      0.9276
