Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
Resume training from cifar100_save/endpoints/WideResNet28x10_new5/sgd/checkpoint-0.pt
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7199    12.6860     4.5929     9.2300    92.5950
   2     0.1000     2.9514    25.6760     3.4370    21.3700    89.9826
   3     0.1000     2.4403    35.8020     2.8167    30.0500    89.9579
   4     0.1000     2.0679    43.7180     2.5310    36.9100    89.9023
   5     0.1000     1.7947    50.1840     2.3155    41.7900    90.0145
   6     0.1000     1.5889    54.7840     2.2946    43.1500    90.2173
   7     0.1000     1.4420    58.6900     2.0693    47.7100    90.0164
   8     0.1000     1.3151    61.9580     1.6864    54.9900    89.8989
   9     0.1000     1.2075    64.7760     1.8410    52.6700    89.8734
  10     0.1000     1.1065    67.3880     2.0334    49.4000    89.9115
  11     0.1000     1.0278    69.4780     1.7571    54.3900    89.8682
  12     0.1000     0.9552    71.3080     1.7758    55.4200    89.8825
  13     0.1000     0.8841    73.5380     1.8361    55.8900    89.7946
  14     0.1000     0.8187    75.2340     1.4380    61.8900    90.0919
  15     0.1000     0.7612    76.7800     1.6538    59.1400    90.0622
  16     0.1000     0.7057    78.2680     1.5204    61.1900    89.9405
  17     0.1000     0.6573    79.5560     1.5763    60.2200    89.9162
  18     0.1000     0.5996    81.2220     1.4321    64.1400    90.0433
  19     0.1000     0.5602    82.3740     1.7012    61.7000    89.9023
  20     0.1000     0.5190    83.6520     1.4811    61.4600    89.8781
  21     0.1000     0.4763    84.7900     1.7899    60.4600    89.9106
  22     0.1000     0.4420    85.9160     1.6017    63.2800    89.8775
  23     0.1000     0.4018    87.1840     1.4597    65.4500    89.8912
  24     0.1000     0.3615    88.5180     1.6088    63.9400    89.8450
  25     0.1000     0.3376    89.1960     1.3579    67.4800    89.8843
  26     0.1000     0.3061    90.1240     1.6155    64.5500    89.9346
  27     0.1000     0.2871    90.7480     1.5406    66.8600    89.9174
  28     0.1000     0.2556    91.8340     1.5416    65.7600    89.9606
  29     0.1000     0.2282    92.7620     2.3268    57.5100    89.9663
  30     0.1000     0.2203    92.9280     1.5207    67.5200    89.8767
  31     0.1000     0.1942    93.7820     1.6145    67.0300    90.0806
  32     0.1000     0.1786    94.2200     1.6273    66.8500    89.8749
  33     0.1000     0.1621    94.9180     1.6757    67.7200    89.8064
  34     0.1000     0.1320    95.9520     1.6843    66.6700    89.7002
  35     0.1000     0.1380    95.6400     1.6434    67.0600    89.8310
  36     0.1000     0.1182    96.3260     1.4165    70.0000    89.8509
  37     0.1000     0.1081    96.7220     1.7065    67.7600    89.8982
  38     0.1000     0.0960    97.1060     1.5742    69.5400    89.7737
  39     0.1000     0.0936    97.0980     1.8915    68.2200    90.0449
  40     0.1000     0.0896    97.2300     1.6620    69.6300    90.0060
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0806    97.5840     1.5956    70.2500    89.8738
  42     0.1000     0.0741    97.8320     1.5496    70.8200    89.7505
  43     0.1000     0.0656    98.1600     1.5902    70.7500    89.7742
  44     0.1000     0.0673    97.9480     1.9232    67.6100    89.8528
  45     0.1000     0.0593    98.3180     1.6038    71.0400    89.8833
  46     0.1000     0.0523    98.5120     1.5257    71.6400    90.1882
  47     0.1000     0.0442    98.7520     1.5845    71.6000    89.7542
  48     0.1000     0.0372    99.0080     1.4862    73.0400    89.7988
  49     0.1000     0.0376    99.0160     1.6768    71.1300    89.8078
  50     0.1000     0.0337    99.0980     1.5185    72.2000    89.7188
  51     0.1000     0.0396    98.9020     1.6887    70.9800    89.8124
  52     0.1000     0.0391    98.9180     1.6630    71.7200    89.8458
  53     0.1000     0.0344    99.0480     1.6844    70.6200    90.0865
  54     0.1000     0.0315    99.1220     1.5937    72.5900    89.7768
  55     0.1000     0.0284    99.2600     1.5837    72.3300    89.8646
  56     0.1000     0.0250    99.3980     1.5031    73.7000    89.8926
  57     0.1000     0.0252    99.3280     1.5372    72.8400    89.8542
  58     0.1000     0.0282    99.2480     1.5028    73.8300    90.0500
  59     0.1000     0.0228    99.4280     1.5862    72.2900    90.0446
  60     0.1000     0.0234    99.3980     1.6136    73.2900    89.8427
  61     0.1000     0.0232    99.3760     1.5724    73.5800    90.1064
  62     0.1000     0.0238    99.3620     1.9899    68.9900    89.8958
  63     0.1000     0.0248    99.2780     1.6829    71.4300    89.8730
  64     0.1000     0.0184    99.5600     1.5050    73.8400    89.7754
  65     0.1000     0.0237    99.3740     1.5142    73.8400    89.7376
  66     0.1000     0.0211    99.4560     1.7125    72.5100    89.9306
  67     0.1000     0.0194    99.5020     1.7709    71.0000    89.9601
  68     0.1000     0.0172    99.5520     1.5390    73.7400    89.9093
  69     0.1000     0.0171    99.5540     1.5489    73.1700    89.9780
  70     0.1000     0.0116    99.7280     1.5110    74.2400    89.8964
  71     0.1000     0.0109    99.7440     1.5048    74.5700    89.7604
  72     0.1000     0.0084    99.8240     1.5265    74.7000    89.7295
  73     0.1000     0.0064    99.8680     1.6127    73.9900    89.7594
  74     0.1000     0.0073    99.8600     1.5047    74.8400    89.8589
  75     0.1000     0.0059    99.8720     1.4935    74.8600    89.7452
  76     0.1000     0.0043    99.9220     1.5200    75.4300    89.8802
  77     0.1000     0.0041    99.9260     1.5230    75.2700    89.8025
  78     0.1000     0.0031    99.9360     1.5176    75.7300    89.7894
  79     0.1000     0.0029    99.9400     1.5023    75.5100    89.8958
  80     0.1000     0.0026    99.9500     1.5155    75.6200    89.8625
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0026    99.9480     1.5030    75.5000    89.9064
  82     0.1000     0.0032    99.9320     1.5012    75.3400    89.9095
