Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  87     0.1000     0.0025    99.9440     1.4810    75.5100   141.2541
  88     0.1000     0.0026    99.9500     1.5012    75.5100   141.2996
  89     0.1000     0.0026    99.9420     1.5390    75.4900   141.2878
  90     0.1000     0.0024    99.9480     1.4878    75.5800   141.3276
  91     0.1000     0.0017    99.9600     1.5002    75.6200   141.2715
  92     0.1000     0.0017    99.9660     1.4848    76.1900   141.3165
  93     0.1000     0.0033    99.9180     1.5897    75.1200   141.3011
  94     0.1000     0.0043    99.9000     1.5326    75.4500   141.3067
  95     0.1000     0.0029    99.9300     1.5106    75.6200   141.3119
  96     0.1000     0.0020    99.9560     1.5226    75.9000   141.3277
  97     0.1000     0.0016    99.9680     1.5106    76.2900   141.3246
  98     0.1000     0.0012    99.9720     1.4908    76.1900   141.3361
  99     0.1000     0.0011    99.9740     1.4897    76.1800   141.3294
 100     0.1000     0.0012    99.9700     1.5049    76.1800   141.2901
 101     0.0988     0.0014    99.9700     1.5139    76.2600   141.3150
 102     0.0975     0.0014    99.9620     1.4931    76.4300   141.3139
 103     0.0963     0.0019    99.9380     1.4892    75.9300   141.3056
 104     0.0950     0.0015    99.9580     1.5097    76.0700   141.3194
 105     0.0938     0.0013    99.9620     1.5009    75.9600   141.2931
 106     0.0926     0.0010    99.9760     1.5048    76.2200   141.3515
 107     0.0913     0.0010    99.9760     1.4988    76.4100   141.3228
 108     0.0901     0.0009    99.9740     1.4916    76.4800   141.3179
 109     0.0889     0.0009    99.9700     1.4913    76.5600   141.2923
 110     0.0876     0.0008    99.9660     1.4851    76.5400   141.2947
 111     0.0864     0.0010    99.9680     1.5020    76.5400   141.3241
 112     0.0852     0.0007    99.9820     1.5084    76.5800   141.3077
 113     0.0839     0.0007    99.9780     1.5007    76.7200   141.3174
 114     0.0827     0.0006    99.9780     1.4916    76.5500   141.3361
 115     0.0814     0.0007    99.9740     1.5012    76.5300   141.3314
 116     0.0802     0.0007    99.9720     1.4860    76.6000   141.3447
 117     0.0790     0.0007    99.9720     1.4957    76.5600   141.3129
 118     0.0777     0.0007    99.9740     1.4913    76.6200   141.3473
 119     0.0765     0.0007    99.9700     1.4752    76.7200   141.3553
 120     0.0753     0.0006    99.9760     1.4921    76.7000   141.3150
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 121     0.0740     0.0007    99.9780     1.4848    76.6900   141.3747
 122     0.0728     0.0006    99.9760     1.4914    76.5800   141.3274
 123     0.0715     0.0006    99.9780     1.4988    76.6600   141.3420
 124     0.0703     0.0006    99.9780     1.4929    76.6300   141.3450
 125     0.0691     0.0006    99.9800     1.5004    76.6600   141.2887
 126     0.0678     0.0006    99.9800     1.5073    76.6600   141.3337
 127     0.0666     0.0006    99.9740     1.4883    76.5800   141.3427
 128     0.0654     0.0006    99.9820     1.4959    76.6200   141.3321
 129     0.0641     0.0006    99.9740     1.4962    76.6100   141.3375
 130     0.0629     0.0006    99.9720     1.5206    76.5500   141.3263
 131     0.0616     0.0006    99.9720     1.4820    76.5300   141.3445
 132     0.0604     0.0006    99.9760     1.5077    76.7200   141.3935
 133     0.0592     0.0005    99.9780     1.4869    76.6000   141.3247
 134     0.0579     0.0006    99.9740     1.5106    76.5700   141.3487
 135     0.0567     0.0005    99.9780     1.4951    76.6400   141.3320
 136     0.0554     0.0006    99.9740     1.4995    76.5000   141.3392
 137     0.0542     0.0006    99.9780     1.5000    76.5100   141.3345
 138     0.0530     0.0006    99.9780     1.4976    76.4100   141.3035
 139     0.0517     0.0005    99.9860     1.5005    76.7000   141.3231
 140     0.0505     0.0005    99.9800     1.5016    76.5300   141.3648
 141     0.0493     0.0006    99.9720     1.4989    76.5700   141.3313
 142     0.0480     0.0005    99.9820     1.5044    76.5400   141.3568
 143     0.0468     0.0006    99.9700     1.5013    76.5800   141.3531
 144     0.0456     0.0005    99.9820     1.4959    76.5800   141.3487
 145     0.0443     0.0005    99.9740     1.5033    76.5200   141.3877
 146     0.0431     0.0006    99.9780     1.4853    76.6900   141.3381
 147     0.0418     0.0005    99.9780     1.5094    76.6800   141.3585
 148     0.0406     0.0005    99.9760     1.4995    76.8100   141.3526
 149     0.0394     0.0005    99.9720     1.4996    76.6700   141.3492
 150     0.0381     0.0005    99.9700     1.4993    76.5200   141.3534
 151     0.0369     0.0005    99.9800     1.4866    76.6800   141.3220
 152     0.0357     0.0005    99.9800     1.4940    76.6200   141.3635
 153     0.0344     0.0005    99.9780     1.5063    76.6200   141.3521
 154     0.0332     0.0005    99.9800     1.5023    76.7400   141.3493
 155     0.0319     0.0005    99.9760     1.4823    76.8400   141.3713
 156     0.0307     0.0005    99.9800     1.4931    76.6500   141.4515
 157     0.0295     0.0005    99.9760     1.4958    76.7200   141.3188
 158     0.0282     0.0005    99.9760     1.4996    76.7500   141.3426
 159     0.0270     0.0005    99.9760     1.4974    76.6800   141.3206
 160     0.0257     0.0004    99.9780     1.5146    76.6400   141.3479
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 161     0.0245     0.0004    99.9840     1.4985    76.5800   141.3763
 162     0.0233     0.0004    99.9780     1.4984    76.7100   141.4429
 163     0.0220     0.0005    99.9760     1.4924    76.6900   141.3494
 164     0.0208     0.0004    99.9740     1.5059    76.6900   141.3633
 165     0.0196     0.0005    99.9760     1.4893    76.8300   141.3158
 166     0.0183     0.0005    99.9820     1.5057    76.6100   141.3582
 167     0.0171     0.0005    99.9760     1.5009    76.6300   141.3852
 168     0.0159     0.0005    99.9820     1.4965    76.7000   141.3487
 169     0.0146     0.0004    99.9820     1.4862    76.7400   141.3333
 170     0.0134     0.0005    99.9760     1.5013    76.6000   141.3110
 171     0.0121     0.0004    99.9800     1.5030    76.9000   141.3308
 172     0.0109     0.0005    99.9780     1.5003    76.6900   141.3018
 173     0.0097     0.0004    99.9840     1.4952    76.8000   141.3239
 174     0.0084     0.0005    99.9740     1.4889    76.7400   141.3131
 175     0.0072     0.0004    99.9800     1.5009    76.6000   141.4826
 176     0.0060     0.0004    99.9780     1.5009    76.8000   141.2949
 177     0.0047     0.0004    99.9820     1.4979    76.7500   141.3370
 178     0.0035     0.0004    99.9880     1.4996    76.7900   141.3171
 179     0.0022     0.0004    99.9920     1.4937    76.6100   141.3599
 180     0.0010     0.0004    99.9760     1.5015    76.7000   141.3518
 181     0.0010     0.0005    99.9760     1.4987    76.6400   141.3425
 182     0.0010     0.0004    99.9880     1.4952    76.7400   141.3513
 183     0.0010     0.0004    99.9820     1.4813    76.7200   141.3368
 184     0.0010     0.0005    99.9740     1.4892    76.7300   141.3175
 185     0.0010     0.0004    99.9880     1.4967    76.7700   141.3255
 186     0.0010     0.0005    99.9720     1.4865    76.8200   141.3179
 187     0.0010     0.0004    99.9800     1.4921    76.6000   141.3445
 188     0.0010     0.0004    99.9860     1.4947    76.8300   141.3226
 189     0.0010     0.0005    99.9740     1.5026    76.6300   141.3294
 190     0.0010     0.0005    99.9760     1.4944    76.7300   141.3377
 191     0.0010     0.0004    99.9900     1.5137    76.6200   141.3257
 192     0.0010     0.0004    99.9820     1.4955    76.6800   141.3121
 193     0.0010     0.0004    99.9820     1.5015    76.8800   141.3760
 194     0.0010     0.0004    99.9840     1.4899    76.8600   141.3774
 195     0.0010     0.0004    99.9900     1.4951    76.5700   141.3629
 196     0.0010     0.0004    99.9900     1.4973    76.9100   141.3349
 197     0.0010     0.0004    99.9820     1.5062    76.8400   141.3567
 198     0.0010     0.0005    99.9780     1.4996    76.5700   141.3345
 199     0.0010     0.0005    99.9800     1.4998    76.7800   141.3339
 200     0.0010     0.0004    99.9860     1.5006    76.8100   141.3446
