./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-2.pt	13.608604 12.620447 10.887398 10.194969 9.929003 9.130652 8.88711 8.595924 8.551239 8.023465	0.00048441323451697826 0.0026303911581635475 0.005372425075620413 580.5931396484375 12418.423828125 10497.22265625 5.422572030511219e-06 0.007798027712851763 0.007392184808850288 580.5931396484375 12418.423828125 10497.22265625 0.00013483296788763255 0.015166309662163258 0.01816115900874138 580.5931396484375 12418.423828125 10497.22265625 0.0011349476408213377 0.0007180035463534296 4.751877349917777e-05 580.5931396484375 12418.423828125 10497.22265625 1.093425180442864e-05 0.001797363511286676 0.0015279221115633845 580.5931396484375 12418.423828125 10497.22265625 0.00027692047297023237 0.00042216546717099845 1.5254969184752554e-05 580.5931396484375 12418.423828125 10497.22265625 2.3066529308835015e-07 0.0009288896690122783 0.0008998457342386246 580.5931396484375 12418.423828125 10497.22265625 1.0796069545904174e-05 0.0013515404425561428 0.0011207479983568192 580.5931396484375 12418.423828125 10497.22265625 0.000132056069560349 0.0009695226908661425 0.0018172081327065825 580.5931396484375 12418.423828125 10497.22265625 0.00014573994849342853 0.0006895349361002445 0.001469287439249456 580.5931396484375 12418.423828125 10497.22265625
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-4.pt	13.591429 12.266664 9.879156 8.787508 8.383708 8.119841 7.803811 7.4099445 7.253429 7.0087547	3.4760528251354117e-06 0.0012757445219904184 0.0014124071458354592 1158.6502685546875 12485.3125 9966.6904296875 0.002067072317004204 0.00018604191427584738 0.0034933830611407757 1158.6502685546875 12485.3125 9966.6904296875 6.6872257775685284e-06 0.002312052994966507 0.0020700544118881226 1158.6502685546875 12485.3125 9966.6904296875 4.2585150367813185e-05 0.0009311058092862368 0.0005754369776695967 1158.6502685546875 12485.3125 9966.6904296875 0.00026430055731907487 0.0003789344918914139 0.0012761724647134542 1158.6502685546875 12485.3125 9966.6904296875 0.0010157194919884205 5.3442545322468504e-05 0.0006031909724697471 1158.6502685546875 12485.3125 9966.6904296875 2.8478501779005683e-09 5.199571751290932e-05 5.276879892335273e-05 1158.6502685546875 12485.3125 9966.6904296875 0.0009728361037559807 0.00018578313756734133 0.0003083572373725474 1158.6502685546875 12485.3125 9966.6904296875 2.5860070309136063e-05 0.0003854466776829213 0.0006109858513809741 1158.6502685546875 12485.3125 9966.6904296875 0.00017153454245999455 0.00025311042554676533 0.0008413823088631034 1158.6502685546875 12485.3125 9966.6904296875
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-6.pt	8.922232 8.163339 6.8526196 6.2243786 6.0104423 5.945086 5.6070137 5.429858 5.234135 5.113872	0.0001162797343567945 0.008335322141647339 0.010420589707791805 1642.8997802734375 12546.8681640625 9685.5888671875 0.0001366315846098587 0.0012993786949664354 0.0022787125781178474 1642.8997802734375 12546.8681640625 9685.5888671875 0.000849830568768084 0.0019599637016654015 0.005390986800193787 1642.8997802734375 12546.8681640625 9685.5888671875 0.0006195490714162588 0.0009096632711589336 2.7771216991823167e-05 1642.8997802734375 12546.8681640625 9685.5888671875 0.00023264181800186634 6.730310997227207e-05 4.9684676923789084e-05 1642.8997802734375 12546.8681640625 9685.5888671875 0.0005696759326383471 5.500076076714322e-05 0.000270657183136791 1642.8997802734375 12546.8681640625 9685.5888671875 8.973388787580916e-08 0.0010734305251389742 0.0010931537253782153 1642.8997802734375 12546.8681640625 9685.5888671875 1.6163550753844902e-05 0.0006077547441236675 0.0004256922984495759 1642.8997802734375 12546.8681640625 9685.5888671875 9.778981620911509e-06 5.2129147661617026e-05 1.6751484508858994e-05 1642.8997802734375 12546.8681640625 9685.5888671875 0.0003275484195910394 0.001252733520232141 0.002861430635675788 1642.8997802734375 12546.8681640625 9685.5888671875
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-8.pt	7.570608 7.052498 6.0334935 5.764209 5.501888 5.33328 5.1499205 4.7342796 4.6456466 4.5113225	0.00019735524256248027 0.000268390285782516 0.000926040462218225 2016.4013671875 12604.935546875 9521.171875 0.0001964258262887597 2.604001019790303e-05 7.942817319417372e-05 2016.4013671875 12604.935546875 9521.171875 0.0008995863026939332 2.01214734261157e-05 0.0006506299250759184 2016.4013671875 12604.935546875 9521.171875 0.00022106649703346193 0.000739578390493989 0.0017693396657705307 2016.4013671875 12604.935546875 9521.171875 0.0005500753177329898 0.00029698549769818783 3.869369174935855e-05 2016.4013671875 12604.935546875 9521.171875 0.00032916912459768355 0.0005949080223217607 3.9033991924952716e-05 2016.4013671875 12604.935546875 9521.171875 2.2291260393103585e-05 0.001457808306440711 0.0011195649858564138 2016.4013671875 12604.935546875 9521.171875 0.00012869869533460587 0.0005822459934279323 0.0012584220385178924 2016.4013671875 12604.935546875 9521.171875 7.48692691558972e-05 7.655324588995427e-05 9.348216423177291e-09 2016.4013671875 12604.935546875 9521.171875 0.00047268992057070136 3.607713370001875e-05 0.00024759286316111684 2016.4013671875 12604.935546875 9521.171875
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-10.pt	6.7783017 6.0664964 5.4848166 5.1823516 4.8301315 4.69181 4.644301 4.5271087 4.3475437 4.2861114	3.3654967410257086e-05 0.0008091776981018484 0.0005127855692990124 2286.66943359375 12661.1904296875 9418.8388671875 4.536704727797769e-05 0.00031659487285651267 0.0006016545812599361 2286.66943359375 12661.1904296875 9418.8388671875 0.0014427201822400093 0.0016255886293947697 5.454432994156377e-06 2286.66943359375 12661.1904296875 9418.8388671875 0.00018673665181268007 0.0005897286464460194 0.0001127656432799995 2286.66943359375 12661.1904296875 9418.8388671875 8.254301792476326e-05 0.0002220266469521448 3.381725400686264e-05 2286.66943359375 12661.1904296875 9418.8388671875 0.00038945366395637393 0.00012605785741470754 7.237005047500134e-05 2286.66943359375 12661.1904296875 9418.8388671875 1.7056736396625638e-05 0.0013646057341247797 0.0010765350889414549 2286.66943359375 12661.1904296875 9418.8388671875 0.0001227092870976776 0.0012296636123210192 0.002129271160811186 2286.66943359375 12661.1904296875 9418.8388671875 0.0026453689206391573 0.0004915574681945145 0.005417597480118275 2286.66943359375 12661.1904296875 9418.8388671875 0.0001870100386440754 0.000258641317486763 5.794725893792929e-06 2286.66943359375 12661.1904296875 9418.8388671875
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-20.pt	6.668046 6.2911944 5.9445195 5.630654 5.158061 4.8239837 4.564339 4.44066 4.332424 4.2041736	0.0001440691703464836 3.1294946438720217e-06 0.00010473094880580902 2930.089111328125 12917.59765625 9215.287109375 0.0002469189348630607 6.644491077167913e-05 5.7189066865248606e-05 2930.089111328125 12917.59765625 9215.287109375 7.69060934544541e-05 7.256947719724849e-05 0.00029888792778365314 2930.089111328125 12917.59765625 9215.287109375 7.90679914643988e-05 5.520385911950143e-06 4.280342909623869e-05 2930.089111328125 12917.59765625 9215.287109375 9.609973494661972e-05 0.0007279179408214986 0.0013529827119782567 2930.089111328125 12917.59765625 9215.287109375 1.5797328160260804e-05 9.52660120674409e-05 0.0001886525278678164 2930.089111328125 12917.59765625 9215.287109375 2.3777163733029738e-05 3.5210332498536445e-06 8.998041266750079e-06 2930.089111328125 12917.59765625 9215.287109375 0.0027280154172331095 1.9581666492740624e-05 0.002285340102389455 2930.089111328125 12917.59765625 9215.287109375 0.0005875532515347004 0.0034988122060894966 0.0012187896063551307 2930.089111328125 12917.59765625 9215.287109375 0.003520310390740633 0.0003828271583188325 0.0062249209731817245 2930.089111328125 12917.59765625 9215.287109375
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-30.pt	2.8566241 2.5791643 2.1281638 2.045135 2.0083995 1.873492 1.8262295 1.7656596 1.7024322 1.6561087	0.00020721397595480084 3.5001965443370864e-05 0.0004125447303522378 3257.465087890625 13117.31640625 9137.06640625 0.0003490766684990376 0.001100644120015204 0.0026894165202975273 3257.465087890625 13117.31640625 9137.06640625 4.576234641717747e-05 0.00027651345590129495 0.0005472537013702095 3257.465087890625 13117.31640625 9137.06640625 0.00014990755880717188 0.003365837037563324 0.002095094183459878 3257.465087890625 13117.31640625 9137.06640625 3.458874925854616e-05 0.00020083347044419497 6.873025267850608e-05 3257.465087890625 13117.31640625 9137.06640625 0.0018773486372083426 0.0016175309428945184 9.670425242802594e-06 3257.465087890625 13117.31640625 9137.06640625 2.1968846340314485e-05 0.0005726637318730354 0.00037030252860859036 3257.465087890625 13117.31640625 9137.06640625 5.4300398915074766e-05 0.0004502456577029079 0.0008172646048478782 3257.465087890625 13117.31640625 9137.06640625 0.00026374513981863856 3.944108902942389e-05 9.920402226271108e-05 3257.465087890625 13117.31640625 9137.06640625 0.0007536259945482016 0.0001378470187773928 0.001536097377538681 3257.465087890625 13117.31640625 9137.06640625
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-40.pt	6.135876 4.510918 3.5729692 3.1840293 2.9377058 2.8629544 2.625151 2.408212 2.3794913 2.2915633	0.001337002613581717 0.0011839696671813726 4.6491154535033274e-06 3484.383544921875 13257.822265625 9075.6123046875 0.00046978294267319143 0.0003967889060731977 3.079907173741958e-06 3484.383544921875 13257.822265625 9075.6123046875 3.7784593587275594e-06 0.0014742737403139472 0.001328771817497909 3484.383544921875 13257.822265625 9075.6123046875 0.0003485608322080225 0.0005883308476768434 3.1200714147416875e-05 3484.383544921875 13257.822265625 9075.6123046875 4.4468408304965124e-05 0.00011260030441917479 1.5546687791356817e-05 3484.383544921875 13257.822265625 9075.6123046875 0.0011539073893800378 8.827433339320123e-05 0.0006038786377757788 3484.383544921875 13257.822265625 9075.6123046875 0.0005997907719574869 0.00022477320453617722 0.0015589158283546567 3484.383544921875 13257.822265625 9075.6123046875 0.00039855134673416615 0.0009807210881263018 0.00012888411583844572 3484.383544921875 13257.822265625 9075.6123046875 7.982363604241982e-05 0.001267381478101015 0.0019833273254334927 3484.383544921875 13257.822265625 9075.6123046875 0.00015477187116630375 0.0007383045740425587 0.0002170027291867882 3484.383544921875 13257.822265625 9075.6123046875
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-50.pt	2.897931 1.9539554 1.5474577 1.491479 1.4702212 1.4563771 1.3702514 1.3166 1.2890062 1.2739034	0.00013337723794393241 0.0002612456155475229 2.1290785298333503e-05 3652.568359375 13357.0283203125 9013.779296875 4.47582851847983e-06 0.00041727625648491085 0.0005081814015284181 3652.568359375 13357.0283203125 9013.779296875 7.577147334814072e-05 1.0785734048113227e-06 9.493130346527323e-05 3652.568359375 13357.0283203125 9013.779296875 0.0008520458941347897 0.00023091428738553077 0.0019700895063579082 3652.568359375 13357.0283203125 9013.779296875 1.5148583543123095e-07 5.134555249242112e-05 4.591924152919091e-05 3652.568359375 13357.0283203125 9013.779296875 0.0004580396052915603 0.00016290575149469078 0.001167269772849977 3652.568359375 13357.0283203125 9013.779296875 5.323680306901224e-05 0.00010956262121908367 0.0003155456215608865 3652.568359375 13357.0283203125 9013.779296875 0.0008387594134546816 0.0007767974748276174 0.003229923779144883 3652.568359375 13357.0283203125 9013.779296875 0.00017755464068613946 6.4722999013611116e-06 0.0002518280816730112 3652.568359375 13357.0283203125 9013.779296875 0.00018911098595708609 4.731294757220894e-05 4.7242730943253264e-05 3652.568359375 13357.0283203125 9013.779296875
./cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-60.pt	2.4547744 2.2974238 2.1136956 1.7292796 1.6358943 1.6037816 1.5554407 1.4945545 1.4636632 1.4040706	1.4036138054507319e-05 0.00043014338007196784 0.0002887760056182742 3784.222412109375 13433.533203125 8955.8544921875 2.262508132844232e-05 7.251185888890177e-05 0.00017614723765291274 3784.222412109375 13433.533203125 8955.8544921875 0.0008908273885026574 1.7121778000728227e-05 0.0011549536138772964 3784.222412109375 13433.533203125 8955.8544921875 0.0022590933367609978 9.988824785978068e-06 0.0019686450250446796 3784.222412109375 13433.533203125 8955.8544921875 0.0020154553931206465 0.0003245088446419686 0.0007225191802717745 3784.222412109375 13433.533203125 8955.8544921875 0.0002905655710492283 6.757341179763898e-05 7.789246592437848e-05 3784.222412109375 13433.533203125 8955.8544921875 2.839603621396236e-05 0.00026770340627990663 0.00012172413698863238 3784.222412109375 13433.533203125 8955.8544921875 0.0008295601583085954 0.0009867174085229635 6.812409083067905e-06 3784.222412109375 13433.533203125 8955.8544921875 0.0023864684626460075 0.0025542324874550104 2.8489530450315215e-06 3784.222412109375 13433.533203125 8955.8544921875 0.001003154320642352 0.00023266681819222867 0.0002695880539249629 3784.222412109375 13433.533203125 8955.8544921875
