Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7167    12.8760     4.7363     7.8900   148.1318
   2     0.1000     2.9502    25.5860     3.7664    18.7200   144.0712
   3     0.1000     2.4329    35.7840     2.9536    28.9800   144.0506
   4     0.1000     2.0641    44.0500     2.8454    33.5300   144.1358
   5     0.1000     1.7905    50.3100     2.1807    43.6600   144.1181
   6     0.1000     1.5868    54.9840     2.3649    43.6600   144.1255
   7     0.1000     1.4386    58.6920     2.0168    48.3000   144.0774
   8     0.1000     1.3116    61.9260     1.8233    51.5300   144.0998
   9     0.1000     1.2003    64.9540     1.9519    51.1700   144.1910
  10     0.1000     1.1022    67.5100     2.1773    49.3700   144.0866
  11     0.1000     1.0215    69.6960     2.0045    50.9000   144.1017
  12     0.1000     0.9505    71.5120     1.7978    55.4500   144.1550
  13     0.1000     0.8756    73.5520     1.7110    56.4700   144.1863
  14     0.1000     0.8168    75.2480     1.3960    62.2100   144.1186
  15     0.1000     0.7568    76.7600     1.6381    60.1000   144.0538
  16     0.1000     0.7031    78.1260     1.5737    59.9800   144.1029
  17     0.1000     0.6439    80.1520     1.6953    58.0100   144.0947
  18     0.1000     0.5942    81.5140     1.3376    65.5000   144.1174
  19     0.1000     0.5549    82.4900     1.4263    63.6500   144.1387
  20     0.1000     0.5103    83.8520     1.9746    54.0900   144.0800
  21     0.1000     0.4702    85.1000     1.7192    63.2800   144.1305
  22     0.1000     0.4389    86.0500     1.5956    64.4500   144.0661
  23     0.1000     0.3944    87.3440     1.5313    64.6700   144.0479
  24     0.1000     0.3562    88.5540     1.5751    65.1500   144.0621
  25     0.1000     0.3333    89.2340     1.2281    70.0900   144.0753
  26     0.1000     0.3001    90.2860     1.6954    63.0700   144.1361
  27     0.1000     0.2763    91.0140     1.4112    67.8600   144.1842
  28     0.1000     0.2520    91.8480     1.5351    65.7900   144.1338
  29     0.1000     0.2306    92.6620     1.6376    66.4600   144.2051
  30     0.1000     0.2082    93.4620     1.6132    66.2600   144.1473
  31     0.1000     0.1890    94.1600     1.6106    67.8500   144.0557
  32     0.1000     0.1703    94.5520     1.4896    67.9500   144.1546
  33     0.1000     0.1627    94.7480     1.5759    68.8200   144.0456
  34     0.1000     0.1425    95.5020     1.7070    67.0500   144.0474
  35     0.1000     0.1388    95.6680     1.8653    65.1700   144.0444
  36     0.1000     0.1083    96.7600     1.5812    68.2400   144.0719
  37     0.1000     0.1106    96.5900     1.7455    67.5000   144.0630
  38     0.1000     0.0998    96.9600     1.7413    67.7900   144.0611
  39     0.1000     0.0987    96.9500     1.5809    69.9000   144.1349
  40     0.1000     0.0789    97.7380     1.9589    67.1800   144.1040
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0701    97.9220     1.5119    70.3100   144.1904
  42     0.1000     0.0641    98.1420     1.5232    70.6200   144.0703
  43     0.1000     0.0660    98.0900     1.5032    71.4000   144.0568
  44     0.1000     0.0576    98.3740     1.6710    70.3400   144.0564
  45     0.1000     0.0465    98.8020     1.5255    72.2900   144.1095
  46     0.1000     0.0560    98.3000     1.5782    72.1500   144.1339
  47     0.1000     0.0375    99.0400     1.5047    71.5700   144.0606
  48     0.1000     0.0384    98.9480     1.4775    73.0000   144.0989
  49     0.1000     0.0440    98.7440     1.4890    72.2900   144.0689
  50     0.1000     0.0467    98.6680     1.6454    70.5800   144.0713
  51     0.1000     0.0428    98.8100     1.5002    71.9900   144.0612
  52     0.1000     0.0314    99.1900     1.5049    72.3400   144.1581
  53     0.1000     0.0230    99.4300     1.5609    71.7100   144.1892
  54     0.1000     0.0273    99.2780     1.7080    71.8300   144.0685
  55     0.1000     0.0344    99.0480     1.5681    72.8300   144.0999
  56     0.1000     0.0268    99.2620     1.5559    72.8700   144.0764
  57     0.1000     0.0309    99.1860     1.5197    72.8600   144.0657
  58     0.1000     0.0261    99.2760     1.4924    72.9500   144.0763
  59     0.1000     0.0272    99.2780     1.6573    72.0300   144.0865
  60     0.1000     0.0306    99.1600     1.5616    72.8600   144.1519
  61     0.1000     0.0360    98.9280     1.6506    72.0800   144.0615
  62     0.1000     0.0282    99.2600     1.5681    73.4500   144.0958
  63     0.1000     0.0192    99.5160     1.5840    72.5900   144.1311
  64     0.1000     0.0245    99.3320     1.6570    71.1400   144.0796
  65     0.1000     0.0226    99.4340     1.5309    73.6800   144.1234
  66     0.1000     0.0190    99.5220     1.6210    72.9400   144.0870
  67     0.1000     0.0143    99.6800     1.4810    73.8500   144.0557
  68     0.1000     0.0109    99.7500     1.5264    74.0300   144.0966
  69     0.1000     0.0124    99.6980     1.7761    71.5400   144.0848
  70     0.1000     0.0123    99.6960     1.5645    73.4100   144.1010
  71     0.1000     0.0121    99.7320     1.5092    74.6300   144.0707
  72     0.1000     0.0093    99.8020     1.5924    73.8600   144.0582
  73     0.1000     0.0083    99.8180     1.5034    74.3400   144.0519
  74     0.1000     0.0084    99.8360     1.5217    74.2200   144.1388
  75     0.1000     0.0071    99.8460     1.5055    74.5200   144.2015
  76     0.1000     0.0064    99.8760     1.6894    72.9300   144.0967
  77     0.1000     0.0057    99.8820     1.4790    74.9500   144.0595
  78     0.1000     0.0043    99.9240     1.4692    75.5400   144.0576
  79     0.1000     0.0030    99.9460     1.4899    75.6400   144.0925
  80     0.1000     0.0028    99.9540     1.4464    75.8700   144.0717
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0033    99.9280     1.4922    75.3000   144.0588
  82     0.1000     0.0055    99.8680     1.5203    75.0900   144.0490
  83     0.1000     0.0052    99.8740     1.4952    75.1800   144.0800
  84     0.1000     0.0043    99.9080     1.5021    75.3700   144.0492
