Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7172    12.7940     4.3545     9.4600   147.8877
   2     0.1000     2.9471    25.8440     3.6503    19.9000   143.9198
   3     0.1000     2.4325    35.8720     2.7869    31.4700   143.8523
   4     0.1000     2.0635    43.8340     2.7794    35.4100   143.9508
   5     0.1000     1.7940    50.2440     2.2649    41.8900   143.9436
   6     0.1000     1.5900    54.8740     2.3685    43.8500   169.9114
   7     0.1000     1.4455    58.5160     2.0614    47.6500   298.4205
   8     0.1000     1.3168    61.9560     1.7528    53.3900   259.7760
   9     0.1000     1.2071    64.7080     1.6623    55.3600   228.0305
  10     0.1000     1.1054    67.4980     2.0839    49.0000   143.8157
  11     0.1000     1.0244    69.4880     1.8332    53.8200   143.8750
  12     0.1000     0.9519    71.6800     1.7439    55.8700   143.8978
  13     0.1000     0.8800    73.3420     1.6216    58.4600   144.0369
  14     0.1000     0.8206    75.1820     1.3797    62.8400   143.9685
  15     0.1000     0.7575    76.9280     1.6582    59.7000   143.8915
  16     0.1000     0.7049    78.1840     1.5566    60.2700   143.9055
  17     0.1000     0.6520    79.6440     1.4350    62.8900   143.8793
  18     0.1000     0.5969    81.6220     1.3905    65.2200   143.8609
  19     0.1000     0.5582    82.6420     1.4957    64.0300   143.8863
  20     0.1000     0.5180    83.6500     1.7693    57.5700   143.9054
  21     0.1000     0.4686    85.2220     1.6880    61.7600   143.8772
  22     0.1000     0.4390    85.9840     1.6868    63.5100   143.8883
  23     0.1000     0.3971    87.3560     1.5424    65.4900   143.9704
  24     0.1000     0.3646    88.2640     1.6664    62.7900   143.8801
  25     0.1000     0.3265    89.5060     1.6705    63.5200   143.8867
  26     0.1000     0.3071    90.1140     1.5050    65.1300   143.8930
  27     0.1000     0.2848    90.8680     1.5920    64.7500   143.8854
  28     0.1000     0.2570    91.7600     1.8322    61.9000   144.0691
  29     0.1000     0.2243    92.8300     1.9163    62.8100   143.9153
  30     0.1000     0.2137    93.1320     1.7162    65.1800   143.8929
  31     0.1000     0.1923    93.9140     1.6163    68.2200   143.8626
  32     0.1000     0.1735    94.4860     1.8251    64.7600   143.9139
  33     0.1000     0.1597    94.9460     1.6257    68.0900   143.9309
  34     0.1000     0.1490    95.3500     1.6397    66.1000   143.9595
  35     0.1000     0.1393    95.5340     1.6678    67.0300   143.8851
  36     0.1000     0.1224    96.2240     1.6023    67.7900   143.8707
  37     0.1000     0.1049    96.7900     1.7066    68.0400   143.9632
  38     0.1000     0.1064    96.6800     1.4302    71.1900   143.8799
  39     0.1000     0.0894    97.3120     1.6642    68.5500   143.9174
  40     0.1000     0.0884    97.3680     1.8119    67.4100   143.9887
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0851    97.4240     1.4681    71.8900   143.8754
  42     0.1000     0.0719    97.8680     1.5833    70.4600   143.8717
  43     0.1000     0.0676    98.0440     1.6348    69.8400   143.9153
  44     0.1000     0.0611    98.2760     1.4832    72.4200   143.8481
  45     0.1000     0.0562    98.3500     1.6315    71.2600   143.8518
  46     0.1000     0.0417    98.9160     1.4772    72.7000   143.9569
  47     0.1000     0.0441    98.7820     1.5136    72.6000   143.8668
  48     0.1000     0.0392    98.9360     1.6047    71.8200   143.8984
  49     0.1000     0.0387    98.9420     1.5105    71.8600   143.8475
  50     0.1000     0.0358    99.0520     1.6023    71.1100   143.8735
  51     0.1000     0.0312    99.2300     1.4789    73.5500   143.8700
  52     0.1000     0.0266    99.3420     1.5592    72.8700   143.8089
  53     0.1000     0.0255    99.3900     1.5370    73.2100   143.9164
  54     0.1000     0.0340    99.0060     1.6070    72.1400   143.9132
  55     0.1000     0.0261    99.2920     1.4406    74.6300   143.8633
  56     0.1000     0.0237    99.3380     1.5627    73.3700   143.8561
  57     0.1000     0.0199    99.4880     1.5654    73.0000   144.1589
  58     0.1000     0.0296    99.1380     1.6253    71.8200   143.8883
  59     0.1000     0.0318    99.1540     1.6057    72.1800   143.9291
  60     0.1000     0.0308    99.1200     1.7188    71.7800   143.8933
  61     0.1000     0.0267    99.3220     1.5332    73.8500   143.9087
  62     0.1000     0.0162    99.6200     1.4342    74.6600   143.8809
  63     0.1000     0.0162    99.5920     1.7659    71.5700   143.8554
  64     0.1000     0.0194    99.5280     1.5334    73.7700   143.8269
  65     0.1000     0.0202    99.4420     1.6398    73.0400   144.0494
  66     0.1000     0.0272    99.2160     1.6705    72.9100   143.8561
  67     0.1000     0.0287    99.1920     1.6955    72.8000   143.8921
  68     0.1000     0.0192    99.5040     1.5238    74.0600   143.7977
  69     0.1000     0.0144    99.6700     1.5488    74.3400   143.8948
  70     0.1000     0.0087    99.8240     1.5059    74.9500   143.9897
  71     0.1000     0.0082    99.8240     1.5236    74.1700   144.0227
  72     0.1000     0.0088    99.7980     1.5145    75.1600   144.0783
  73     0.1000     0.0076    99.8280     1.5081    75.1000   143.8504
  74     0.1000     0.0058    99.8880     1.5270    74.9700   143.8748
  75     0.1000     0.0042    99.9180     1.4939    75.3800   143.8647
  76     0.1000     0.0047    99.9200     1.5093    75.3000   144.0315
  77     0.1000     0.0045    99.9120     1.4674    75.4800   143.9098
  78     0.1000     0.0035    99.9360     1.5363    75.0600   143.8324
  79     0.1000     0.0033    99.9300     1.5158    75.2100   143.8244
  80     0.1000     0.0027    99.9560     1.4824    75.8700   143.8220
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0028    99.9360     1.4989    75.7900   143.8652
  82     0.1000     0.0032    99.9320     1.5064    75.5200   143.8631
  83     0.1000     0.0033    99.9300     1.5061    75.4400   143.9054
  84     0.1000     0.0025    99.9520     1.5100    75.7600   143.8340
