Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
Resume training from cifar100_save/endpoints/WideResNet28x10-1/sgd/checkpoint-0.pt
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     1.4409    46.6760     1.6501    45.7400   145.7158
   2     0.1000     0.9092    67.6400     1.1969    62.2700   141.7989
   3     0.1000     0.6856    76.2160     0.8408    73.2000   141.9016
   4     0.1000     0.5571    80.6320     0.9423    72.1700   141.8964
   5     0.1000     0.4747    83.6740     0.8796    73.1600   141.8901
   6     0.1000     0.4137    85.8180     0.5300    82.0200   141.8979
   7     0.1000     0.3677    87.3320     0.5367    82.8600   141.9778
   8     0.1000     0.3329    88.4500     0.4528    84.8300   141.8752
   9     0.1000     0.3013    89.5200     0.4619    85.1200   141.9324
  10     0.1000     0.2713    90.6280     0.4591    85.4300   141.8321
  11     0.1000     0.2466    91.4700     0.4143    87.2000   141.8646
  12     0.1000     0.2242    92.2220     0.5237    84.5900   141.8215
  13     0.1000     0.2093    92.7440     0.4931    85.0500   141.8644
  14     0.1000     0.1922    93.3220     0.4063    87.3900   141.8423
  15     0.1000     0.1688    94.0660     0.4994    86.0000   141.8087
  16     0.1000     0.1621    94.2980     0.4589    85.9500   141.8216
  17     0.1000     0.1451    94.9820     0.3486    89.3500   141.8271
  18     0.1000     0.1371    95.1700     0.5583    86.0200   141.8917
  19     0.1000     0.1244    95.5360     0.6155    83.1100   141.8642
  20     0.1000     0.1152    95.8920     0.7067    82.1900   141.8714
  21     0.1000     0.1079    96.1760     0.3883    89.6400   141.8407
  22     0.1000     0.0921    96.8280     0.4001    88.8900   141.8407
  23     0.1000     0.0891    96.9320     0.3700    90.3100   141.8225
  24     0.1000     0.0849    97.0500     0.4653    88.0100   141.8612
  25     0.1000     0.0779    97.2780     0.4383    88.5000   141.8329
  26     0.1000     0.0698    97.6220     0.3929    90.4100   141.8520
  27     0.1000     0.0671    97.6380     0.4402    89.3100   141.8783
  28     0.1000     0.0634    97.8220     0.5278    88.0300   141.8319
  29     0.1000     0.0581    97.9640     0.4778    89.2500   141.8683
  30     0.1000     0.0557    98.0320     0.3133    91.6000   141.8573
  31     0.1000     0.0534    98.1880     0.5062    88.5500   141.7971
  32     0.1000     0.0487    98.2980     0.3864    90.4000   141.8108
  33     0.1000     0.0450    98.4240     0.4110    90.0200   141.8456
  34     0.1000     0.0384    98.6620     0.3145    91.8600   141.8245
  35     0.1000     0.0344    98.8200     0.4702    89.8600   141.7771
  36     0.1000     0.0420    98.4700     0.5776    88.6600   141.8489
  37     0.1000     0.0390    98.6160     0.3850    91.5900   141.7991
  38     0.1000     0.0280    99.0200     0.3468    92.1200   141.8573
  39     0.1000     0.0289    99.0100     0.3536    92.2900   141.8310
  40     0.1000     0.0252    99.1620     0.3988    91.0900   141.8659
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0303    99.0240     0.4356    91.0300   141.8306
  42     0.1000     0.0244    99.1840     0.4539    90.6100   141.8288
  43     0.1000     0.0255    99.1400     0.3970    91.2000   141.8413
  44     0.1000     0.0216    99.3100     0.3658    92.0100   141.8131
  45     0.1000     0.0202    99.3160     0.3903    91.6200   141.8441
  46     0.1000     0.0229    99.2000     0.3617    92.2400   141.8426
  47     0.1000     0.0220    99.2600     0.3541    92.2300   141.8412
  48     0.1000     0.0177    99.4120     0.4719    90.7800   141.8240
  49     0.1000     0.0188    99.3740     0.3557    92.3000   141.8340
  50     0.1000     0.0170    99.4540     0.4326    91.4100   141.7777
  51     0.1000     0.0231    99.2240     0.5071    90.9300   141.8211
  52     0.1000     0.0163    99.4720     0.3757    92.1800   141.8509
  53     0.1000     0.0178    99.3820     0.3980    92.0200   141.8242
  54     0.1000     0.0125    99.5960     0.4824    91.0700   141.8337
  55     0.1000     0.0147    99.5000     0.3679    92.8400   141.8327
  56     0.1000     0.0123    99.6400     0.4364    91.5000   141.8173
  57     0.1000     0.0115    99.6220     0.4127    92.0600   141.8255
  58     0.1000     0.0121    99.6000     0.3669    92.8800   141.7993
  59     0.1000     0.0135    99.5500     0.4046    91.9700   141.7771
  60     0.1000     0.0124    99.6120     0.4141    92.2000   141.8519
  61     0.1000     0.0160    99.4200     0.3860    92.3100   141.8284
  62     0.1000     0.0128    99.5760     0.3812    92.6900   141.8840
  63     0.1000     0.0111    99.6060     0.3508    92.9600   141.7848
  64     0.1000     0.0112    99.6200     0.3900    92.5300   141.7840
  65     0.1000     0.0109    99.6500     0.4391    91.8400   141.8275
  66     0.1000     0.0123    99.5880     0.3616    92.9800   141.7884
  67     0.1000     0.0076    99.7400     0.3450    93.3000   141.7807
  68     0.1000     0.0059    99.8000     0.3691    93.1900   141.8352
  69     0.1000     0.0074    99.7420     0.3931    93.0100   141.8200
  70     0.1000     0.0130    99.5900     0.5008    91.1100   141.8020
  71     0.1000     0.0087    99.7200     0.3792    92.6000   141.8617
  72     0.1000     0.0078    99.7480     0.3714    92.8400   141.7892
  73     0.1000     0.0058    99.8280     0.4051    92.7300   141.8341
  74     0.1000     0.0050    99.8540     0.3928    92.7900   141.8368
  75     0.1000     0.0054    99.8120     0.4023    92.6900   141.8634
  76     0.1000     0.0063    99.8040     0.4861    91.4500   141.7985
  77     0.1000     0.0102    99.6600     0.4330    92.2800   141.7855
  78     0.1000     0.0085    99.7320     0.4017    92.7400   141.8307
  79     0.1000     0.0063    99.8020     0.4136    92.4300   141.7494
  80     0.1000     0.0048    99.8540     0.3891    93.1900   141.7792
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0061    99.8120     0.3875    92.6500   141.8180
  82     0.1000     0.0090    99.7020     0.3878    92.6900   141.8442
