Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7145    12.9560     4.8399     7.9300   147.9480
   2     0.1000     2.9402    25.9300     3.5972    20.3400   144.1336
   3     0.1000     2.4296    35.8860     3.0992    26.7000   144.1645
   4     0.1000     2.0584    44.0140     2.7440    34.8900   144.2651
   5     0.1000     1.7865    50.3520     2.1881    43.3800   144.2308
   6     0.1000     1.5841    55.0560     2.4309    43.5200   144.2731
   7     0.1000     1.4374    58.8460     2.0613    47.2600   144.2019
   8     0.1000     1.3112    61.8940     1.7265    53.6600   144.1550
   9     0.1000     1.2011    65.0400     1.8394    52.2000   144.2626
  10     0.1000     1.0999    67.5820     2.0483    49.5800   144.2282
  11     0.1000     1.0232    69.6660     1.7040    55.5800   144.2714
  12     0.1000     0.9519    71.3540     1.7993    54.9100   144.1394
  13     0.1000     0.8770    73.5020     1.8469    54.4100   144.2933
  14     0.1000     0.8153    75.2780     1.3977    61.9400   144.1125
  15     0.1000     0.7566    76.7860     1.7050    58.5000   144.1895
  16     0.1000     0.7019    78.3740     1.5602    60.5400   144.1686
  17     0.1000     0.6480    79.8000     1.7987    57.7500   144.1727
  18     0.1000     0.5942    81.6420     1.4254    64.3400   144.1422
  19     0.1000     0.5574    82.6220     1.4438    64.5400   144.1320
  20     0.1000     0.5127    83.6160     1.5489    61.1200   144.1897
  21     0.1000     0.4713    85.0620     1.7845    60.7700   144.1853
  22     0.1000     0.4327    86.2940     1.5961    63.7700   144.1745
  23     0.1000     0.4013    87.1740     1.6868    62.5600   144.1216
  24     0.1000     0.3634    88.2940     1.5646    64.8800   144.2022
  25     0.1000     0.3334    89.3240     1.4262    66.8100   144.2907
  26     0.1000     0.3051    90.3220     1.5262    65.0100   144.0996
  27     0.1000     0.2809    90.9580     1.3914    67.9100   144.1858
  28     0.1000     0.2515    92.0400     1.5834    65.5300   144.1346
  29     0.1000     0.2345    92.4720     2.0225    62.0400   144.0976
  30     0.1000     0.2179    93.0180     1.7314    64.6800   144.1666
  31     0.1000     0.1941    93.8280     2.2355    60.8400   144.1696
  32     0.1000     0.1695    94.6540     1.8585    64.6000   144.2805
  33     0.1000     0.1523    95.2280     1.6533    67.2600   144.1585
  34     0.1000     0.1464    95.4680     1.7398    67.3700   144.2458
  35     0.1000     0.1396    95.5660     1.4980    69.2700   144.1220
  36     0.1000     0.1161    96.4340     1.3392    71.6000   144.1212
  37     0.1000     0.1043    96.7120     1.6074    68.6300   144.1600
  38     0.1000     0.1074    96.6260     1.6491    68.6600   144.1242
  39     0.1000     0.0959    97.0220     1.8490    67.5300   144.1440
  40     0.1000     0.0893    97.3040     1.6875    69.2700   144.1486
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0735    97.8400     1.4526    71.3000   144.1173
  42     0.1000     0.0691    98.0080     1.5274    70.7000   144.1836
  43     0.1000     0.0709    97.9080     1.6950    68.7400   144.2402
  44     0.1000     0.0579    98.3060     1.4935    71.7800   144.1688
  45     0.1000     0.0641    98.0880     1.5863    70.9600   144.2285
  46     0.1000     0.0546    98.4480     1.8207    68.8700   144.2251
  47     0.1000     0.0440    98.7860     1.5734    71.6800   144.1800
  48     0.1000     0.0381    98.9440     1.7517    70.0000   144.1823
  49     0.1000     0.0420    98.8220     1.5761    71.1900   144.2054
  50     0.1000     0.0312    99.2220     1.6068    71.7100   144.1201
  51     0.1000     0.0287    99.2860     1.6111    71.9900   144.2178
  52     0.1000     0.0310    99.1760     1.4920    72.8800   144.1192
  53     0.1000     0.0287    99.2380     1.5826    72.3500   144.0935
  54     0.1000     0.0326    99.0600     1.4864    72.1700   144.2493
  55     0.1000     0.0302    99.1920     1.5056    73.2500   144.3038
  56     0.1000     0.0328    99.0920     1.5726    71.8700   144.2516
  57     0.1000     0.0286    99.2360     1.5276    72.2600   144.1970
  58     0.1000     0.0225    99.4580     1.4675    73.8900   144.1999
  59     0.1000     0.0189    99.5760     1.6272    72.0000   144.1909
  60     0.1000     0.0198    99.5180     1.4916    74.1100   144.1996
  61     0.1000     0.0207    99.4420     1.6816    72.6500   144.1114
  62     0.1000     0.0244    99.3220     1.5606    73.3400   144.2136
  63     0.1000     0.0278    99.2060     1.6221    72.8300   144.2590
  64     0.1000     0.0179    99.5740     1.4657    74.5000   144.2770
  65     0.1000     0.0175    99.5680     1.4659    74.5300   144.1369
  66     0.1000     0.0195    99.5020     1.5293    73.9800   144.0626
  67     0.1000     0.0253    99.2620     1.6613    72.7000   144.1277
  68     0.1000     0.0173    99.5680     1.5527    73.9800   144.0759
  69     0.1000     0.0136    99.6900     1.5191    73.9700   144.1341
  70     0.1000     0.0110    99.7440     1.6348    72.8400   144.1754
  71     0.1000     0.0114    99.7240     1.4462    74.9800   144.2380
  72     0.1000     0.0090    99.7860     1.5912    73.8200   144.2196
  73     0.1000     0.0089    99.8100     1.5171    74.5100   144.2017
  74     0.1000     0.0081    99.8360     1.4864    74.4700   144.1426
  75     0.1000     0.0090    99.7680     1.4853    75.0100   144.2216
  76     0.1000     0.0060    99.8700     1.5195    74.9600   144.1381
  77     0.1000     0.0059    99.8880     1.4795    74.9200   144.0719
  78     0.1000     0.0060    99.8620     1.4897    75.2500   144.0852
  79     0.1000     0.0046    99.9060     1.4931    75.4400   144.3343
  80     0.1000     0.0049    99.8920     1.4781    75.2100   144.3214
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0034    99.9280     1.4646    75.8900   144.1248
  82     0.1000     0.0042    99.9000     1.5077    75.3200   144.0972
  83     0.1000     0.0041    99.9140     1.4731    75.7100   144.0962
  84     0.1000     0.0036    99.9360     1.5020    75.6300   144.2387
