Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
Resume training from cifar100_save/endpoints/WideResNet28x10-3/sgd/checkpoint-0.pt
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     1.4369    46.6480     1.7185    42.7200    90.0723
   2     0.1000     0.9073    67.7200     1.2168    62.9800    87.7536
   3     0.1000     0.6858    76.0580     0.8154    74.0000    87.8703
   4     0.1000     0.5567    80.5520     1.0191    70.1100    87.8211
   5     0.1000     0.4736    83.4560     0.9342    72.0600    87.8188
   6     0.1000     0.4135    85.8380     0.5712    80.3600    87.8150
   7     0.1000     0.3672    87.3280     0.5711    81.9700    87.7866
   8     0.1000     0.3331    88.3840     0.5437    82.1200    87.7386
   9     0.1000     0.2999    89.6200     0.4927    84.6000    87.7251
  10     0.1000     0.2692    90.8540     0.4862    84.9100    87.7598
  11     0.1000     0.2471    91.3960     0.4422    86.3300    87.7558
  12     0.1000     0.2259    92.2060     0.5105    84.7900    87.7341
  13     0.1000     0.2083    92.7420     0.4830    85.8600    87.7370
  14     0.1000     0.1921    93.3680     0.5131    84.2800    87.7414
  15     0.1000     0.1728    93.9980     0.3870    88.4100    87.7443
  16     0.1000     0.1595    94.3660     0.5389    85.2200    87.6938
  17     0.1000     0.1454    94.9920     0.3725    89.1300    87.7295
  18     0.1000     0.1387    95.1640     0.5537    85.3900    87.7463
  19     0.1000     0.1247    95.5320     0.4493    86.9100    87.7263
  20     0.1000     0.1166    95.8760     0.4874    87.0100    87.7247
  21     0.1000     0.1066    96.2800     0.3780    89.4100    87.7235
  22     0.1000     0.0939    96.7620     0.3930    89.5200    87.7246
  23     0.1000     0.0909    96.7960     0.3434    90.6500    87.6906
  24     0.1000     0.0815    97.1640     1.1209    77.2600    87.6860
  25     0.1000     0.0814    97.1780     0.3766    90.0000    87.7245
  26     0.1000     0.0736    97.3500     0.4263    89.4600    87.6951
  27     0.1000     0.0667    97.6880     0.3419    90.9900    87.7209
  28     0.1000     0.0629    97.8560     0.5042    87.4400    87.7074
  29     0.1000     0.0550    98.1080     0.4028    90.2100    87.7298
  30     0.1000     0.0560    98.0460     0.4638    89.3100    87.7729
  31     0.1000     0.0531    98.1640     0.3478    91.3400    87.7298
  32     0.1000     0.0499    98.2760     0.3610    91.3100    87.7249
  33     0.1000     0.0454    98.4280     0.4700    88.7800    87.7244
  34     0.1000     0.0393    98.6160     0.3878    91.4000    87.6728
  35     0.1000     0.0404    98.5900     0.3654    91.4000    87.7239
  36     0.1000     0.0383    98.7200     0.3488    91.7000    87.6897
  37     0.1000     0.0354    98.7800     0.4207    90.8300    87.7063
  38     0.1000     0.0314    98.9780     0.3848    91.4600    87.7205
  39     0.1000     0.0323    98.8900     0.4050    91.4000    87.7307
  40     0.1000     0.0284    99.0140     0.4488    90.7500    87.7257
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0233    99.2460     0.3474    92.4800    87.7301
  42     0.1000     0.0254    99.1160     0.3680    92.2200    87.7329
  43     0.1000     0.0257    99.0920     0.4954    90.4600    87.7221
  44     0.1000     0.0238    99.1940     0.5625    89.8500    87.6880
  45     0.1000     0.0149    99.5340     0.3766    92.4100    87.7545
  46     0.1000     0.0193    99.3400     0.4546    90.9800    87.7168
  47     0.1000     0.0199    99.3380     0.3693    92.4000    87.7166
  48     0.1000     0.0204    99.2960     0.4304    91.1400    87.7043
  49     0.1000     0.0240    99.1820     0.4328    91.6300    87.7224
  50     0.1000     0.0147    99.5380     0.4129    91.7800    87.7102
  51     0.1000     0.0214    99.2640     0.5290    90.0100    87.7632
  52     0.1000     0.0228    99.2040     0.3999    92.1300    87.7310
  53     0.1000     0.0167    99.4360     0.3830    91.8300    87.6856
  54     0.1000     0.0118    99.6140     0.3492    92.8700    87.7578
  55     0.1000     0.0129    99.5860     0.4344    91.5300    87.7022
  56     0.1000     0.0119    99.6180     0.3823    92.5400    87.7069
  57     0.1000     0.0136    99.5400     0.3931    92.3600    87.6986
  58     0.1000     0.0110    99.6100     0.3876    92.5800    87.6926
  59     0.1000     0.0114    99.6380     0.4144    92.2500    87.7230
  60     0.1000     0.0130    99.5760     0.3756    92.3500    87.6915
  61     0.1000     0.0130    99.5300     0.3738    92.6000    87.7163
  62     0.1000     0.0133    99.5400     0.4028    92.1200    87.7126
  63     0.1000     0.0153    99.4440     0.4427    92.0100    87.7231
  64     0.1000     0.0150    99.4980     0.4460    91.7300    87.6970
  65     0.1000     0.0108    99.6360     0.3888    92.5200    87.7032
  66     0.1000     0.0114    99.6160     0.3998    92.6200    87.7240
  67     0.1000     0.0102    99.6640     0.3703    92.6800    87.7044
  68     0.1000     0.0069    99.8020     0.3736    92.7500    87.7000
  69     0.1000     0.0060    99.8320     0.3551    93.2200    87.7048
  70     0.1000     0.0055    99.8500     0.3763    92.5700    87.7029
  71     0.1000     0.0102    99.6540     0.4148    92.3700    87.7111
  72     0.1000     0.0112    99.6040     0.5346    90.5400    87.7274
  73     0.1000     0.0103    99.6600     0.4378    92.3100    87.7356
  74     0.1000     0.0124    99.5820     0.4551    91.8400    87.7043
  75     0.1000     0.0088    99.7120     0.4353    92.3000    87.7700
  76     0.1000     0.0101    99.6800     0.4445    92.0200    87.7312
  77     0.1000     0.0069    99.7940     0.4013    92.8700    87.7065
  78     0.1000     0.0107    99.6240     0.4105    92.7800    87.7048
  79     0.1000     0.0092    99.6780     0.4402    92.2500    87.7269
  80     0.1000     0.0077    99.7540     0.4246    92.3800    87.7356
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0058    99.8220     0.4001    92.6600    87.7007
  82     0.1000     0.0063    99.8020     0.3857    92.9000    87.7105
