Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
Resume training from cifar100_save/endpoints/WideResNet28x10-4/sgd/checkpoint-0.pt
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  85     0.1000     0.0033    99.9100     0.3827    92.8500   141.5894
  86     0.1000     0.0043    99.8600     0.3920    92.8500   141.5516
  87     0.1000     0.0043    99.8640     0.3726    92.9800   141.5471
  88     0.1000     0.0033    99.9000     0.3810    93.1800   141.5765
  89     0.1000     0.0019    99.9540     0.3694    93.2300   141.5905
  90     0.1000     0.0037    99.8840     0.3870    93.2600   141.5389
  91     0.1000     0.0049    99.8520     0.3870    92.9700   141.5904
  92     0.1000     0.0094    99.6900     0.4468    92.3100   141.5576
  93     0.1000     0.0082    99.7320     0.5167    91.3600   141.5803
  94     0.1000     0.0069    99.7840     0.4057    92.8700   141.5900
  95     0.1000     0.0069    99.7940     0.4130    92.7300   141.5880
  96     0.1000     0.0039    99.8800     0.3882    92.8600   141.5693
  97     0.1000     0.0042    99.8860     0.4046    93.1100   141.5669
  98     0.1000     0.0054    99.8220     0.3983    92.7200   141.5974
  99     0.1000     0.0055    99.8100     0.5105    91.4900   141.5875
 100     0.1000     0.0066    99.7860     0.4207    92.3700   141.5732
 101     0.0988     0.0061    99.8220     0.3804    93.3100   141.5522
 102     0.0975     0.0041    99.8680     0.3791    93.3100   141.5847
 103     0.0963     0.0030    99.9160     0.3755    93.2400   141.5900
 104     0.0950     0.0021    99.9420     0.3986    92.9800   141.5398
 105     0.0938     0.0023    99.9380     0.3966    93.1200   141.5786
 106     0.0926     0.0019    99.9540     0.3746    93.5800   141.5743
 107     0.0913     0.0013    99.9720     0.3710    93.2400   141.6135
 108     0.0901     0.0013    99.9740     0.3866    93.5100   141.5885
 109     0.0889     0.0009    99.9820     0.3710    93.4900   141.6014
 110     0.0876     0.0007    99.9880     0.3666    93.6200   141.6032
 111     0.0864     0.0006    99.9920     0.3643    93.8400   141.6332
 112     0.0852     0.0005    99.9900     0.3563    93.7600   141.6054
 113     0.0839     0.0003    99.9980     0.3530    93.9200   141.6073
 114     0.0827     0.0004    99.9960     0.3584    93.7500   141.6112
 115     0.0814     0.0003    99.9940     0.3542    93.8300   141.6157
 116     0.0802     0.0003    99.9980     0.3635    93.7200   141.5478
 117     0.0790     0.0003    99.9920     0.3676    93.7700   141.5692
 118     0.0777     0.0003    99.9960     0.3715    93.7200   141.6001
 119     0.0765     0.0006    99.9800     0.3805    93.6400   141.6396
 120     0.0753     0.0004    99.9920     0.3707    93.7700   141.5993
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 121     0.0740     0.0003    99.9960     0.3648    93.6600   141.6019
 122     0.0728     0.0004    99.9880     0.3729    93.6900   141.6126
 123     0.0715     0.0005    99.9880     0.3668    93.7700   141.6019
 124     0.0703     0.0003    99.9940     0.3662    93.6600   141.6342
 125     0.0691     0.0003    99.9960     0.3614    93.9800   141.6097
 126     0.0678     0.0004    99.9900     0.3663    93.9100   141.6299
 127     0.0666     0.0004    99.9880     0.3651    93.8600   141.5896
 128     0.0654     0.0002    99.9980     0.3684    93.9000   141.6120
 129     0.0641     0.0002   100.0000     0.3673    94.0300   141.6117
 130     0.0629     0.0002    99.9980     0.3704    93.9500   141.6019
 131     0.0616     0.0002    99.9960     0.3641    94.0400   141.6338
 132     0.0604     0.0001   100.0000     0.3656    93.9900   141.6185
 133     0.0592     0.0001   100.0000     0.3675    94.0000   141.5969
 134     0.0579     0.0001   100.0000     0.3631    94.1000   141.5699
 135     0.0567     0.0001   100.0000     0.3699    94.0200   141.6198
 136     0.0554     0.0002    99.9980     0.3620    93.9800   141.5869
 137     0.0542     0.0001   100.0000     0.3578    94.0700   141.5634
