Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
Resume training from cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-0.pt
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  85     0.1000     0.0053    99.8380     0.3838    93.2800   592.6762
  86     0.1000     0.0089    99.6900     0.4528    92.2500   592.6358
  87     0.1000     0.0057    99.8400     0.3851    93.0700   592.7276
  88     0.1000     0.0050    99.8420     0.3818    93.3300   592.6982
  89     0.1000     0.0071    99.7880     0.4137    92.6600   592.7019
  90     0.1000     0.0047    99.8440     0.4056    93.2700   592.6627
  91     0.1000     0.0027    99.9360     0.3542    93.7300   592.6817
  92     0.1000     0.0039    99.8660     0.4616    92.1200   592.6902
  93     0.1000     0.0043    99.8740     0.4003    92.9000   592.6394
  94     0.1000     0.0039    99.8800     0.4465    92.6500   592.6852
  95     0.1000     0.0047    99.8540     0.3937    92.9400   592.6974
  96     0.1000     0.0048    99.8400     0.4265    92.4000   592.7098
  97     0.1000     0.0045    99.8780     0.4529    92.4500   592.6675
  98     0.1000     0.0046    99.8560     0.4122    93.0000   592.7282
  99     0.1000     0.0035    99.8880     0.3971    93.2200   592.6988
 100     0.1000     0.0034    99.8860     0.4774    92.4300   592.7314
 101     0.0988     0.0038    99.8840     0.3873    93.5000   592.6659
 102     0.0975     0.0017    99.9600     0.3812    93.3800   592.7051
 103     0.0963     0.0016    99.9680     0.3718    93.4900   592.6553
 104     0.0950     0.0032    99.8880     0.4053    93.1200   592.6992
 105     0.0938     0.0040    99.8900     0.3737    93.6300   592.7029
 106     0.0926     0.0029    99.8960     0.4000    93.4100   592.6716
 107     0.0913     0.0018    99.9540     0.3656    93.6000   592.6285
 108     0.0901     0.0013    99.9700     0.3854    93.1500   592.6640
 109     0.0889     0.0010    99.9840     0.3702    93.7000   592.6930
 110     0.0876     0.0018    99.9420     0.5987    91.7900   592.7204
 111     0.0864     0.0016    99.9620     0.3770    93.8500   592.6692
 112     0.0852     0.0012    99.9720     0.3808    93.7200   592.6776
 113     0.0839     0.0012    99.9680     0.3942    93.5600   592.6866
 114     0.0827     0.0008    99.9880     0.3742    93.8100   592.7042
 115     0.0814     0.0008    99.9820     0.4129    93.3800   592.7193
 116     0.0802     0.0009    99.9800     0.3786    93.8500   592.7311
 117     0.0790     0.0004   100.0000     0.3776    93.7900   592.6465
 118     0.0777     0.0006    99.9840     0.3898    93.7700   592.6664
 119     0.0765     0.0004    99.9960     0.3800    94.0200   592.6702
 120     0.0753     0.0004    99.9920     0.3826    93.7400   592.7084
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 121     0.0740     0.0004    99.9920     0.3731    93.9900   592.7474
 122     0.0728     0.0002    99.9980     0.3744    94.0400   592.6658
 123     0.0715     0.0002    99.9980     0.3716    93.9500   592.6651
 124     0.0703     0.0002   100.0000     0.3807    93.9800   592.6717
 125     0.0691     0.0002   100.0000     0.3796    94.1400   592.6962
 126     0.0678     0.0002    99.9960     0.3790    94.0300   592.7763
 127     0.0666     0.0004    99.9880     0.3737    93.9800   592.6676
 128     0.0654     0.0002    99.9980     0.3776    93.9000   592.7171
 129     0.0641     0.0002    99.9980     0.3806    93.9100   592.6979
 130     0.0629     0.0001    99.9980     0.3789    94.0600   592.6937
 131     0.0616     0.0002   100.0000     0.3701    94.0000   592.7236
 132     0.0604     0.0001   100.0000     0.3752    93.9600   592.6594
 133     0.0592     0.0001   100.0000     0.3784    93.9100   592.7019
 134     0.0579     0.0002    99.9960     0.3769    94.0300   592.6216
 135     0.0567     0.0001   100.0000     0.3745    93.9300   592.6403
 136     0.0554     0.0001   100.0000     0.3706    94.1700   592.6911
 137     0.0542     0.0001   100.0000     0.3707    94.0400   592.6517
 138     0.0530     0.0001   100.0000     0.3747    94.1400   592.7283
 139     0.0517     0.0001   100.0000     0.3650    94.2200   592.7615
 140     0.0505     0.0001    99.9980     0.3707    94.1000   592.7048
 141     0.0493     0.0001   100.0000     0.3708    94.1100   592.6889
 142     0.0480     0.0001   100.0000     0.3700    94.0700   592.6927
 143     0.0468     0.0001   100.0000     0.3827    94.0600   592.6553
 144     0.0456     0.0001   100.0000     0.3770    94.0100   592.3407
 145     0.0443     0.0001   100.0000     0.3717    94.0400   592.2607
 146     0.0431     0.0001   100.0000     0.3699    94.0900   592.2157
 147     0.0418     0.0001   100.0000     0.3681    94.2000   592.2331
 148     0.0406     0.0001   100.0000     0.3713    94.1600   592.2185
 149     0.0394     0.0001    99.9980     0.3791    94.0400   592.2138
 150     0.0381     0.0001   100.0000     0.3764    94.1400   592.2571
 151     0.0369     0.0001    99.9960     0.3825    93.9100   592.2629
 152     0.0357     0.0001   100.0000     0.3862    94.0200   592.2572
 153     0.0344     0.0001    99.9980     0.3789    94.0500   592.2097
 154     0.0332     0.0001   100.0000     0.3776    94.0800   592.2396
 155     0.0319     0.0001   100.0000     0.3750    94.1600   592.1753
 156     0.0307     0.0001   100.0000     0.3798    94.1800   592.2529
 157     0.0295     0.0001   100.0000     0.3828    94.1000   592.2208
 158     0.0282     0.0001   100.0000     0.3766    93.9900   592.2480
 159     0.0270     0.0001   100.0000     0.3719    94.1000   592.3089
 160     0.0257     0.0001   100.0000     0.3781    94.1400   592.2556
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 161     0.0245     0.0001   100.0000     0.3734    94.0300   592.2841
 162     0.0233     0.0001   100.0000     0.3722    94.2200   592.2697
 163     0.0220     0.0001   100.0000     0.3701    94.1600   592.2340
 164     0.0208     0.0000   100.0000     0.3667    94.1400   592.2352
 165     0.0196     0.0001   100.0000     0.3802    94.1000   592.2411
 166     0.0183     0.0001   100.0000     0.3732    94.0800   592.2849
 167     0.0171     0.0001   100.0000     0.3769    94.0200   592.2422
 168     0.0159     0.0000   100.0000     0.3668    94.1300   592.2981
 169     0.0146     0.0001   100.0000     0.3719    94.1300   592.2705
 170     0.0134     0.0000   100.0000     0.3675    94.1800   600.4265
 171     0.0121     0.0001   100.0000     0.3678    94.2800   592.1414
 172     0.0109     0.0000   100.0000     0.3689    94.1600   592.1852
 173     0.0097     0.0000   100.0000     0.3696    94.1800   592.2519
 174     0.0084     0.0001   100.0000     0.3744    94.0900   592.2239
 175     0.0072     0.0000   100.0000     0.3750    94.2000   592.2591
 176     0.0060     0.0000   100.0000     0.3749    94.1700   592.2457
 177     0.0047     0.0001   100.0000     0.3724    94.1700   592.2036
 178     0.0035     0.0001   100.0000     0.3711    94.1500   592.2286
 179     0.0022     0.0001   100.0000     0.3687    94.1900   592.2069
 180     0.0010     0.0001    99.9980     0.3689    94.2700   592.2139
 181     0.0010     0.0001   100.0000     0.3705    94.0700   592.1405
 182     0.0010     0.0000   100.0000     0.3687    94.2200   592.2716
 183     0.0010     0.0001   100.0000     0.3680    94.2900   592.2053
 184     0.0010     0.0000   100.0000     0.3759    94.1200   592.2688
 185     0.0010     0.0000   100.0000     0.3754    94.1500   592.2577
 186     0.0010     0.0000   100.0000     0.3700    94.1000   592.2580
 187     0.0010     0.0000   100.0000     0.3793    94.2000   592.3254
 188     0.0010     0.0001   100.0000     0.3757    94.0000   592.2594
 189     0.0010     0.0000   100.0000     0.3710    94.2100   592.3317
 190     0.0010     0.0001   100.0000     0.3673    94.0600   592.3219
 191     0.0010     0.0000   100.0000     0.3769    94.1400   592.3404
 192     0.0010     0.0000   100.0000     0.3650    94.1800   592.2692
 193     0.0010     0.0001    99.9980     0.3706    94.0500   592.3434
 194     0.0010     0.0000   100.0000     0.3698    94.0700   592.2483
 195     0.0010     0.0000   100.0000     0.3688    94.1300   592.2907
 196     0.0010     0.0001   100.0000     0.3677    94.1800   592.2499
 197     0.0010     0.0000   100.0000     0.3694    94.2000   592.3039
 198     0.0010     0.0001   100.0000     0.3693    94.2400   592.2545
 199     0.0010     0.0000   100.0000     0.3717    94.1300   592.2623
 200     0.0010     0.0000   100.0000     0.3643    94.1700   592.2099
