You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  87     0.1000     0.0036    99.9120     0.3792    93.3000    90.6190
  88     0.1000     0.0030    99.9160     0.3661    93.6600    90.5266
  89     0.1000     0.0044    99.8600     0.3732    93.4900    90.6257
  90     0.1000     0.0035    99.8840     0.3988    93.0700    90.6602
  91     0.1000     0.0044    99.8640     0.4239    92.9800    90.4672
  92     0.1000     0.0078    99.7540     0.3743    93.0100    90.4533
  93     0.1000     0.0043    99.8720     0.3875    93.3100    90.4688
  94     0.1000     0.0059    99.8080     0.6488    90.2900    90.5002
  95     0.1000     0.0049    99.8560     0.3986    92.8100    90.6247
  96     0.1000     0.0063    99.7860     0.5305    91.3900    90.5656
  97     0.1000     0.0072    99.7660     0.4617    92.6000    90.5072
  98     0.1000     0.0071    99.7900     0.5026    91.7000    90.4683
  99     0.1000     0.0047    99.8720     0.5054    91.6500    90.5448
 100     0.1000     0.0056    99.8180     0.4147    92.8400    90.5047
 101     0.0988     0.0038    99.8700     0.3880    93.3400    90.6212
 102     0.0975     0.0033    99.9080     0.4407    92.9300    90.6818
 103     0.0963     0.0044    99.8620     0.4106    93.1400    90.7297
 104     0.0950     0.0025    99.9180     0.3883    93.3500    90.5649
 105     0.0938     0.0020    99.9500     0.3843    93.4700    90.5122
 106     0.0926     0.0015    99.9540     0.3954    93.4900    90.5428
 107     0.0913     0.0012    99.9760     0.3864    93.6100    90.6513
 108     0.0901     0.0013    99.9660     0.4290    93.2100    90.5589
 109     0.0889     0.0016    99.9560     0.3689    93.5800    90.6035
 110     0.0876     0.0021    99.9380     0.3974    93.0300    90.5105
 111     0.0864     0.0018    99.9440     0.4095    93.1300    90.6184
 112     0.0852     0.0012    99.9680     0.3751    93.6800    90.6682
 113     0.0839     0.0009    99.9780     0.3679    93.7300    90.5580
 114     0.0827     0.0005    99.9960     0.3657    93.8800    90.5735
 115     0.0814     0.0004    99.9960     0.3514    93.9200    90.6775
 116     0.0802     0.0006    99.9860     0.3631    93.9000    90.5662
 117     0.0790     0.0007    99.9780     0.3669    93.9400    90.5855
 118     0.0777     0.0007    99.9840     0.3675    93.8100    90.5640
 119     0.0765     0.0006    99.9880     0.3701    93.9000    90.5710
 120     0.0753     0.0005    99.9920     0.3574    93.9900    90.5527
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 121     0.0740     0.0003   100.0000     0.3610    93.9300    90.5643
 122     0.0728     0.0004    99.9940     0.3569    94.1500    90.5323
 123     0.0715     0.0002   100.0000     0.3564    94.0500    90.4942
 124     0.0703     0.0002   100.0000     0.3621    93.9900    90.6444
 125     0.0691     0.0002   100.0000     0.3661    94.1600    90.6517
 126     0.0678     0.0003    99.9960     0.3547    94.1500    90.8051
 127     0.0666     0.0002    99.9980     0.3528    94.2300    90.6615
 128     0.0654     0.0002    99.9960     0.3648    94.3000    90.6796
 129     0.0641     0.0002    99.9960     0.3663    94.0300    90.6154
 130     0.0629     0.0002   100.0000     0.3640    94.2000    90.5950
 131     0.0616     0.0002    99.9980     0.3610    94.0300    90.6046
 132     0.0604     0.0001    99.9980     0.3627    94.0300    90.5667
 133     0.0592     0.0001   100.0000     0.3666    94.0800    90.5656
 134     0.0579     0.0001   100.0000     0.3608    94.0800    90.6648
 135     0.0567     0.0001   100.0000     0.3668    93.9700    90.5901
 136     0.0554     0.0002    99.9960     0.3681    94.1300    90.6127
 137     0.0542     0.0002    99.9980     0.3679    93.9700    90.6172
 138     0.0530     0.0001   100.0000     0.3684    93.8800    90.5978
 139     0.0517     0.0001    99.9980     0.3612    94.0600    90.5215
 140     0.0505     0.0001   100.0000     0.3649    94.0200    90.7723
 141     0.0493     0.0001    99.9980     0.3671    94.0700    90.5802
 142     0.0480     0.0002    99.9960     0.3688    93.9800    90.5285
 143     0.0468     0.0001   100.0000     0.3666    94.0300    90.5276
 144     0.0456     0.0001    99.9940     0.3653    93.9900    90.5861
 145     0.0443     0.0001   100.0000     0.3644    94.0600    90.5261
 146     0.0431     0.0001   100.0000     0.3647    94.0500    90.5359
 147     0.0418     0.0001    99.9980     0.3640    93.9600    90.5473
 148     0.0406     0.0001   100.0000     0.3596    93.9200    90.6072
 149     0.0394     0.0001   100.0000     0.3623    94.0100    90.6819
 150     0.0381     0.0001   100.0000     0.3641    93.8400    90.6411
 151     0.0369     0.0001   100.0000     0.3598    94.0200    90.5781
 152     0.0357     0.0001   100.0000     0.3666    93.9900    90.5988
 153     0.0344     0.0001   100.0000     0.3662    94.0700    90.5570
 154     0.0332     0.0001   100.0000     0.3656    94.1200    90.7068
 155     0.0319     0.0001    99.9980     0.3655    94.1000    90.5725
 156     0.0307     0.0002    99.9980     0.3648    94.0300    90.6519
 157     0.0295     0.0001   100.0000     0.3605    94.0500    90.5336
 158     0.0282     0.0001    99.9980     0.3628    94.2200    90.5717
 159     0.0270     0.0001   100.0000     0.3643    94.0200    90.5489
 160     0.0257     0.0001   100.0000     0.3614    94.1000    90.4986
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 161     0.0245     0.0001   100.0000     0.3653    93.9900    90.4953
 162     0.0233     0.0001    99.9980     0.3651    94.0800    90.5083
 163     0.0220     0.0001    99.9980     0.3649    94.1500    90.6215
 164     0.0208     0.0001   100.0000     0.3616    93.8500    90.4851
 165     0.0196     0.0001   100.0000     0.3618    94.2300    90.5944
 166     0.0183     0.0001   100.0000     0.3642    93.9400    90.4961
 167     0.0171     0.0001   100.0000     0.3690    94.1200    91.2019
 168     0.0159     0.0001   100.0000     0.3602    94.0600    90.6372
 169     0.0146     0.0001   100.0000     0.3653    94.1600    90.6781
 170     0.0134     0.0001   100.0000     0.3640    94.0200    90.6469
 171     0.0121     0.0001   100.0000     0.3617    93.9900    90.5134
 172     0.0109     0.0001   100.0000     0.3613    93.9900    90.5368
 173     0.0097     0.0001   100.0000     0.3671    94.0800    90.6231
 174     0.0084     0.0001   100.0000     0.3593    94.0600    90.5214
 175     0.0072     0.0001   100.0000     0.3595    94.0700    90.5385
 176     0.0060     0.0001   100.0000     0.3633    94.1500    90.6860
 177     0.0047     0.0001   100.0000     0.3638    94.0500    90.8312
 178     0.0035     0.0001   100.0000     0.3684    94.1400    90.5742
 179     0.0022     0.0001   100.0000     0.3646    94.0800    90.6511
 180     0.0010     0.0001   100.0000     0.3562    94.1100    90.6032
 181     0.0010     0.0001   100.0000     0.3625    93.8900    90.8879
 182     0.0010     0.0001   100.0000     0.3595    94.0600    90.5550
 183     0.0010     0.0001   100.0000     0.3626    93.9900    90.7495
 184     0.0010     0.0001   100.0000     0.3641    94.0100    90.5902
 185     0.0010     0.0001   100.0000     0.3625    94.1000    90.6635
 186     0.0010     0.0001   100.0000     0.3647    94.1500    90.7116
 187     0.0010     0.0001   100.0000     0.3596    94.0000    90.7114
 188     0.0010     0.0001   100.0000     0.3656    94.0500    90.6659
 189     0.0010     0.0001   100.0000     0.3615    94.0200    90.6742
 190     0.0010     0.0001   100.0000     0.3645    94.0500    90.7143
 191     0.0010     0.0001   100.0000     0.3605    94.0100    90.7405
 192     0.0010     0.0001   100.0000     0.3605    94.0700    90.5604
 193     0.0010     0.0000   100.0000     0.3648    94.0500    90.4785
 194     0.0010     0.0001   100.0000     0.3680    93.9600    90.5632
 195     0.0010     0.0001   100.0000     0.3640    94.2300    90.6018
 196     0.0010     0.0001   100.0000     0.3602    94.0800    90.6327
 197     0.0010     0.0001   100.0000     0.3617    94.0500    90.6783
 198     0.0010     0.0001   100.0000     0.3670    93.9800    90.5870
 199     0.0010     0.0001   100.0000     0.3597    94.1200    90.5827
 200     0.0010     0.0001    99.9980     0.3642    94.1600    90.6282
