Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
Resume training from cifar100_save/endpoints/WideResNet28x10_new4/sgd/checkpoint-0.pt
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  85     0.1000     0.0023    99.9520     1.4880    75.5300    88.5505
  86     0.1000     0.0019    99.9560     1.4858    75.7300    88.5798
  87     0.1000     0.0038    99.8960     1.5137    75.5500    88.6393
  88     0.1000     0.0024    99.9580     1.4897    76.1100    88.5017
  89     0.1000     0.0019    99.9540     1.4982    75.9200    88.5694
  90     0.1000     0.0025    99.9380     1.5403    74.9500    88.6965
  91     0.1000     0.0018    99.9620     1.5007    75.6600    88.5123
  92     0.1000     0.0017    99.9660     1.5077    75.2700    88.4643
  93     0.1000     0.0027    99.9280     1.5194    75.1700    88.6470
  94     0.1000     0.0023    99.9520     1.5217    75.5300    88.7214
  95     0.1000     0.0016    99.9640     1.5174    75.5900    88.6415
  96     0.1000     0.0018    99.9600     1.5064    75.6700    88.4898
  97     0.1000     0.0017    99.9620     1.5008    75.8800    88.5491
  98     0.1000     0.0012    99.9700     1.4892    76.0400    88.6724
  99     0.1000     0.0016    99.9580     1.4822    75.8700    88.4746
 100     0.1000     0.0013    99.9680     1.4893    75.7800    88.6275
 101     0.0988     0.0019    99.9520     1.5080    75.6300    88.5546
 102     0.0975     0.0016    99.9640     1.5111    76.0400    88.5499
 103     0.0963     0.0012    99.9700     1.4896    75.9700    88.5937
 104     0.0950     0.0013    99.9680     1.5198    75.7300    88.5607
 105     0.0938     0.0013    99.9620     1.4780    76.1100    88.5424
 106     0.0926     0.0010    99.9740     1.4925    76.2500    88.6849
 107     0.0913     0.0009    99.9720     1.4858    75.9600    88.6284
 108     0.0901     0.0009    99.9720     1.4767    76.1300    88.6156
 109     0.0889     0.0009    99.9720     1.4850    76.4600    88.5832
 110     0.0876     0.0008    99.9720     1.4752    76.3100    88.5758
 111     0.0864     0.0008    99.9720     1.4857    76.2900    88.6353
 112     0.0852     0.0007    99.9800     1.5021    75.9500    88.6819
 113     0.0839     0.0006    99.9780     1.4884    76.0600    88.6756
 114     0.0827     0.0007    99.9760     1.4814    76.0600    88.6484
 115     0.0814     0.0008    99.9740     1.4945    76.2900    88.5157
 116     0.0802     0.0008    99.9740     1.4895    76.2000    88.6418
 117     0.0790     0.0007    99.9700     1.4935    76.2700    88.6458
 118     0.0777     0.0007    99.9760     1.4922    76.4000    88.7312
 119     0.0765     0.0008    99.9720     1.4782    76.2200    88.6085
 120     0.0753     0.0007    99.9720     1.5040    76.3300    88.5836
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
 121     0.0740     0.0007    99.9760     1.4979    76.0400    88.6410
 122     0.0728     0.0007    99.9740     1.4966    76.3300    88.5919
 123     0.0715     0.0006    99.9740     1.4978    76.3100    88.5521
 124     0.0703     0.0006    99.9780     1.4955    76.5000    88.5946
 125     0.0691     0.0006    99.9800     1.5000    76.1200    88.5499
 126     0.0678     0.0006    99.9780     1.4988    76.4600    88.6379
 127     0.0666     0.0006    99.9760     1.4936    76.2400    88.5270
 128     0.0654     0.0006    99.9800     1.4982    76.2300    88.5593
 129     0.0641     0.0005    99.9780     1.4957    76.2600    88.5363
 130     0.0629     0.0006    99.9740     1.5079    76.4600    88.5148
 131     0.0616     0.0006    99.9760     1.4904    76.3700    88.5850
 132     0.0604     0.0006    99.9740     1.5011    75.9500    88.5431
 133     0.0592     0.0005    99.9780     1.4937    76.3200    88.6010
 134     0.0579     0.0006    99.9760     1.5129    76.1600    88.5765
 135     0.0567     0.0005    99.9780     1.4991    76.3300    88.5602
 136     0.0554     0.0006    99.9780     1.4915    76.1500    88.6302
 137     0.0542     0.0005    99.9820     1.4938    76.1800    88.5376
